filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
iam.json,/api/2.0/preview/accounts/{account_id}/access-control/assignable-roles,account_access_control_get_assignable_roles_for_resource,get,GetAssignableRolesForResourceResponse,"iam, account_access_control",resource,Gets all the roles that can be granted on an account level resource. A role is grantable if the rule,Gets all the roles that can be granted on an account level resource. A role is grantable if the rule set on the resource can contain an access rule of the role.  :param resource: str   The resource name for which assignable roles will be listed.    Examples | Summary :--- | :--- `resource=accounts/<ACCOUNT_ID>` | A resource name for the account.   `resource=accounts/<ACCOUNT_ID>/groups/<GROUP_ID>` | A resource name for the group.   `resource=accounts/<ACCOUNT_ID>/servicePrincipals/<SP_ID>` | A resource name for the service   principal. `resource=accounts/<ACCOUNT_ID>/tagPolicies/<TAG_POLICY_ID>` | A resource name for the   tag policy.  :returns: :class:`GetAssignableRolesForResourceResponse`,account_assignable_roles,get,select,
iam.json,/api/2.0/preview/accounts/{account_id}/access-control/rule-sets,account_access_control_get_rule_set,get,RuleSetResponse,"iam, account_access_control","name, etag",Get a rule set by its name. A rule set is always attached to a resource and contains a list of access,"Get a rule set by its name. A rule set is always attached to a resource and contains a list of access rules on the said resource. Currently only a default rule set for each resource is supported.  :param name: str   The ruleset name associated with the request.    Examples | Summary :--- | :--- `name=accounts/<ACCOUNT_ID>/ruleSets/default` | A name for a rule set   on the account. `name=accounts/<ACCOUNT_ID>/groups/<GROUP_ID>/ruleSets/default` | A name for a rule   set on the group.   `name=accounts/<ACCOUNT_ID>/servicePrincipals/<SERVICE_PRINCIPAL_APPLICATION_ID>/ruleSets/default` |   A name for a rule set on the service principal.   `name=accounts/<ACCOUNT_ID>/tagPolicies/<TAG_POLICY_ID>/ruleSets/default` | A name for a rule set on   the tag policy. :param etag: str   Etag used for versioning. The response is at least as fresh as the eTag provided. Etag is used for   optimistic concurrency control as a way to help prevent simultaneous updates of a rule set from   overwriting each other. It is strongly suggested that systems make use of the etag in the read ->   modify -> write pattern to perform rule set updates in order to avoid race conditions that is get an   etag from a GET rule set request, and pass it with the PUT update request to identify the rule set   version you are updating.    Examples | Summary :--- | :--- `etag=` | An empty etag can only be used in GET to indicate no   freshness requirements. `etag=RENUAAABhSweA4NvVmmUYdiU717H3Tgy0UJdor3gE4a+mq/oj9NjAf8ZsQ==` | An   etag encoded a specific version of the rule set to get or to be updated.  :returns: :class:`RuleSetResponse`",account_rule_sets,get,select,
iam.json,/api/2.0/preview/accounts/{account_id}/access-control/rule-sets,account_access_control_update_rule_set,put,RuleSetResponse,"iam, account_access_control","name, rule_set","Replace the rules of a rule set. First, use get to read the current version of the rule set before","Replace the rules of a rule set. First, use get to read the current version of the rule set before modifying it. This pattern helps prevent conflicts between concurrent updates.  :param name: str   Name of the rule set. :param rule_set: :class:`RuleSetUpdateRequest`  :returns: :class:`RuleSetResponse`",account_rule_sets,update,replace,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups,account_groups_v2_create,post,AccountGroup,"iam, account_groups_v2","display_name, external_id, id, members, meta, roles","Creates a group in the Databricks account with a unique name, using the supplied group details.","Creates a group in the Databricks account with a unique name, using the supplied group details.  :param display_name: str (optional)   String that represents a human-readable group name :param external_id: str (optional) :param id: str (optional)   Databricks group ID :param members: List[:class:`ComplexValue`] (optional) :param meta: :class:`ResourceMeta` (optional)   Container for the group identifier. Workspace local versus account. :param roles: List[:class:`ComplexValue`] (optional)   Indicates if the group has the admin role.  :returns: :class:`AccountGroup`",account_groups_v2,create,insert,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups,account_groups_v2_list,get,Iterator[AccountGroup],"iam, account_groups_v2","attributes, count, excluded_attributes, filter, sort_by, sort_order, start_index","Gets all details of the groups associated with the Databricks account. As of 08/22/2025, this endpoint","Gets all details of the groups associated with the Databricks account. As of 08/22/2025, this endpoint will no longer return members. Instead, members should be retrieved by iterating through `Get group details`. Existing accounts that rely on this attribute will not be impacted and will continue receiving member data as before.  :param attributes: str (optional)   Comma-separated list of attributes to return in response. :param count: int (optional)   Desired number of results per page. Default is 10000. :param excluded_attributes: str (optional)   Comma-separated list of attributes to exclude in response. :param filter: str (optional)   Query by which the results have to be filtered. Supported operators are equals(`eq`),   contains(`co`), starts with(`sw`) and not equals(`ne`). Additionally, simple expressions can be   formed using logical operators - `and` and `or`. The [SCIM RFC] has more details but we currently   only support simple expressions.    [SCIM RFC]: https://tools.ietf.org/html/rfc7644#section-3.4.2.2 :param sort_by: str (optional)   Attribute to sort the results. :param sort_order: :class:`ListSortOrder` (optional)   The order to sort the results. :param start_index: int (optional)   Specifies the index of the first result. First item is number 1.  :returns: Iterator over :class:`AccountGroup`",account_groups_v2,list,select,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups/{id},account_groups_v2_delete,delete,,"iam, account_groups_v2",id,Deletes a group from the Databricks account.,Deletes a group from the Databricks account.  :param id: str   Unique ID for a group in the Databricks account.,account_groups_v2,delete,delete,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups/{id},account_groups_v2_get,get,AccountGroup,"iam, account_groups_v2",id,Gets the information for a specific group in the Databricks account.,Gets the information for a specific group in the Databricks account.  :param id: str   Unique ID for a group in the Databricks account.  :returns: :class:`AccountGroup`,account_groups_v2,get,select,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups/{id},account_groups_v2_patch,patch,,"iam, account_groups_v2","id, operations, schemas",Partially updates the details of a group.,"Partially updates the details of a group.  :param id: str   Unique ID in the Databricks workspace. :param operations: List[:class:`Patch`] (optional) :param schemas: List[:class:`PatchSchema`] (optional)   The schema of the patch request. Must be [""urn:ietf:params:scim:api:messages:2.0:PatchOp""].",account_groups_v2,patch,update,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/Groups/{id},account_groups_v2_update,put,,"iam, account_groups_v2","id, display_name, external_id, members, meta, roles",Updates the details of a group by replacing the entire group entity.,Updates the details of a group by replacing the entire group entity.  :param id: str   Databricks group ID :param display_name: str (optional)   String that represents a human-readable group name :param external_id: str (optional) :param members: List[:class:`ComplexValue`] (optional) :param meta: :class:`ResourceMeta` (optional)   Container for the group identifier. Workspace local versus account. :param roles: List[:class:`ComplexValue`] (optional)   Indicates if the group has the admin role.,account_groups_v2,update,replace,
iam.json,/api/2.0/accounts/{account_id}/scim/v2/ServicePrincipals,account_service_principals_v2_create,post,AccountServicePrincipal,"iam, account_service_principals_v2","active, application_id, display_name, external_id, id, roles",Creates a new service principal in the Databricks account.,Creates a new service principal in the Databricks account.  :param active: bool (optional)   If this user is active :param application_id: str (optional)   UUID relating to the service principal :param display_name: str (optional)   String that represents a concatenation of given and family names. :param external_id: str (optional) :param id: str (optional)   Databricks service principal ID. :param roles: List[:class:`ComplexValue`] (optional)   Indicates if the group has the admin role.  :returns: :class:`AccountServicePrincipal`,account_service_principals_v2,create,insert,
