service,operation_id,http_path,http_verb,tags,params,success_response_object,summary,description,stackql_resource_name,stackql_method_name,stackql_verb
provisioning,credentials_create,/api/2.0/accounts/{account_id}/credentials,post,"provisioning, credentials","credentials_name, aws_credentials",Credential,Creates a Databricks credential configuration that represents cloud cross-account credentials for a,"Creates a Databricks credential configuration that represents cloud cross-account credentials for a specified account. Databricks uses this to set up network infrastructure properly to host Databricks clusters. For your AWS IAM role, you need to trust the External ID (the Databricks Account API account ID) in the returned credential object, and configure the required access policy.  Save the response's `credentials_id` field, which is the ID for your new credential configuration object.  For information about how to create a new workspace with this API, see [Create a new workspace using the Account API]  [Create a new workspace using the Account API]: http://docs.databricks.com/administration-guide/account-api/new-workspace.html  :param credentials_name: str   The human-readable name of the credential configuration object. :param aws_credentials: :class:`CreateCredentialAwsCredentials`  :returns: :class:`Credential`",credentials,credentials_create,INSERT
provisioning,credentials_list,/api/2.0/accounts/{account_id}/credentials,get,"provisioning, credentials",,Iterator[Credential],"List Databricks credential configuration objects for an account, specified by ID.","List Databricks credential configuration objects for an account, specified by ID.   :returns: Iterator over :class:`Credential`",credentials,credentials_list,SELECT
provisioning,credentials_delete,/api/2.0/accounts/{account_id}/credentials/{credentials_id},delete,"provisioning, credentials",credentials_id,Credential,"Deletes a Databricks credential configuration object for an account, both specified by ID. You cannot","Deletes a Databricks credential configuration object for an account, both specified by ID. You cannot delete a credential that is associated with any workspace.  :param credentials_id: str   Databricks Account API credential configuration ID  :returns: :class:`Credential`",credentials,credentials_delete,DELETE
provisioning,credentials_get,/api/2.0/accounts/{account_id}/credentials/{credentials_id},get,"provisioning, credentials",credentials_id,Credential,"Gets a Databricks credential configuration object for an account, both specified by ID.","Gets a Databricks credential configuration object for an account, both specified by ID.  :param credentials_id: str   Credential configuration ID  :returns: :class:`Credential`",credentials,credentials_get,SELECT
provisioning,encryption_keys_create,/api/2.0/accounts/{account_id}/customer-managed-keys,post,"provisioning, encryption_keys","use_cases, aws_key_info, gcp_key_info",CustomerManagedKey,"Creates a customer-managed key configuration object for an account, specified by ID. This operation","Creates a customer-managed key configuration object for an account, specified by ID. This operation uploads a reference to a customer-managed key to Databricks. If the key is assigned as a workspace's customer-managed key for managed services, Databricks uses the key to encrypt the workspaces notebooks and secrets in the control plane, in addition to Databricks SQL queries and query history. If it is specified as a workspace's customer-managed key for workspace storage, the key encrypts the workspace's root S3 bucket (which contains the workspace's root DBFS and system data) and, optionally, cluster EBS volume data.  **Important**: Customer-managed keys are supported only for some deployment types, subscription types, and AWS regions that currently support creation of Databricks workspaces.  This operation is available only if your account is on the E2 version of the platform or on a select custom plan that allows multiple workspaces per account.  :param use_cases: List[:class:`KeyUseCase`]   The cases that the key can be used for. :param aws_key_info: :class:`CreateAwsKeyInfo` (optional) :param gcp_key_info: :class:`CreateGcpKeyInfo` (optional)  :returns: :class:`CustomerManagedKey`",encryption_keys,encryption_keys_create,INSERT
provisioning,encryption_keys_list,/api/2.0/accounts/{account_id}/customer-managed-keys,get,"provisioning, encryption_keys",,Iterator[CustomerManagedKey],Lists Databricks customer-managed key configurations for an account.,Lists Databricks customer-managed key configurations for an account.   :returns: Iterator over :class:`CustomerManagedKey`,encryption_keys,encryption_keys_list,SELECT
provisioning,encryption_keys_delete,/api/2.0/accounts/{account_id}/customer-managed-keys/{customer_managed_key_id},delete,"provisioning, encryption_keys",customer_managed_key_id,CustomerManagedKey,Deletes a customer-managed key configuration object for an account. You cannot delete a configuration,Deletes a customer-managed key configuration object for an account. You cannot delete a configuration that is associated with a running workspace.  :param customer_managed_key_id: str   Databricks encryption key configuration ID.  :returns: :class:`CustomerManagedKey`,encryption_keys,encryption_keys_delete,DELETE
provisioning,encryption_keys_get,/api/2.0/accounts/{account_id}/customer-managed-keys/{customer_managed_key_id},get,"provisioning, encryption_keys",customer_managed_key_id,CustomerManagedKey,"Gets a customer-managed key configuration object for an account, specified by ID. This operation","Gets a customer-managed key configuration object for an account, specified by ID. This operation uploads a reference to a customer-managed key to Databricks. If assigned as a workspace's customer-managed key for managed services, Databricks uses the key to encrypt the workspaces notebooks and secrets in the control plane, in addition to Databricks SQL queries and query history. If it is specified as a workspace's customer-managed key for storage, the key encrypts the workspace's root S3 bucket (which contains the workspace's root DBFS and system data) and, optionally, cluster EBS volume data.  **Important**: Customer-managed keys are supported only for some deployment types, subscription types, and AWS regions.  This operation is available only if your account is on the E2 version of the platform."",  :param customer_managed_key_id: str   Databricks encryption key configuration ID.  :returns: :class:`CustomerManagedKey`",encryption_keys,encryption_keys_get,SELECT
provisioning,networks_create,/api/2.0/accounts/{account_id}/networks,post,"provisioning, networks","gcp_network_info, network_name, security_group_ids, subnet_ids, vpc_endpoints, vpc_id",Network,Creates a Databricks network configuration that represents an VPC and its resources. The VPC will be,Creates a Databricks network configuration that represents an VPC and its resources. The VPC will be used for new Databricks clusters. This requires a pre-existing VPC and subnets.  :param gcp_network_info: :class:`GcpNetworkInfo` (optional) :param network_name: str (optional)   The human-readable name of the network configuration. :param security_group_ids: List[str] (optional)   IDs of one to five security groups associated with this network. Security group IDs **cannot** be   used in multiple network configurations. :param subnet_ids: List[str] (optional)   IDs of at least two subnets associated with this network. Subnet IDs **cannot** be used in multiple   network configurations. :param vpc_endpoints: :class:`NetworkVpcEndpoints` (optional) :param vpc_id: str (optional)   The ID of the VPC associated with this network configuration. VPC IDs can be used in multiple   networks.  :returns: :class:`Network`,networks,networks_create,INSERT
provisioning,networks_list,/api/2.0/accounts/{account_id}/networks,get,"provisioning, networks",,Iterator[Network],Lists Databricks network configurations for an account.,Lists Databricks network configurations for an account.   :returns: Iterator over :class:`Network`,networks,networks_list,SELECT
provisioning,networks_delete,/api/2.0/accounts/{account_id}/networks/{network_id},delete,"provisioning, networks",network_id,Network,"Deletes a Databricks network configuration, which represents a cloud VPC and its resources. You cannot","Deletes a Databricks network configuration, which represents a cloud VPC and its resources. You cannot delete a network that is associated with a workspace.  This operation is available only if your account is on the E2 version of the platform.  :param network_id: str   Databricks Account API network configuration ID.  :returns: :class:`Network`",networks,networks_delete,DELETE
provisioning,networks_get,/api/2.0/accounts/{account_id}/networks/{network_id},get,"provisioning, networks",network_id,Network,"Gets a Databricks network configuration, which represents a cloud VPC and its resources.","Gets a Databricks network configuration, which represents a cloud VPC and its resources.  :param network_id: str   Databricks Account API network configuration ID.  :returns: :class:`Network`",networks,networks_get,SELECT
provisioning,private_access_create,/api/2.0/accounts/{account_id}/private-access-settings,post,"provisioning, private_access","allowed_vpc_endpoint_ids, private_access_level, private_access_settings_name, public_access_enabled, region",PrivateAccessSettings,"Creates a private access settings configuration, which represents network access restrictions for","Creates a private access settings configuration, which represents network access restrictions for workspace resources. Private access settings configure whether workspaces can be accessed from the public internet or only from private endpoints.  :param allowed_vpc_endpoint_ids: List[str] (optional)   An array of Databricks VPC endpoint IDs. This is the Databricks ID returned when registering the VPC   endpoint configuration in your Databricks account. This is not the ID of the VPC endpoint in AWS.   Only used when private_access_level is set to ENDPOINT. This is an allow list of VPC endpoints   registered in your Databricks account that can connect to your workspace over AWS PrivateLink. Note:   If hybrid access to your workspace is enabled by setting public_access_enabled to true, this control   only works for PrivateLink connections. To control how your workspace is accessed via public   internet, see IP access lists. :param private_access_level: :class:`PrivateAccessLevel` (optional)   The private access level controls which VPC endpoints can connect to the UI or API of any workspace   that attaches this private access settings object. `ACCOUNT` level access (the default) allows only   VPC endpoints that are registered in your Databricks account connect to your workspace. `ENDPOINT`   level access allows only specified VPC endpoints connect to your workspace. For details, see   allowed_vpc_endpoint_ids. :param private_access_settings_name: str (optional)   The human-readable name of the private access settings object. :param public_access_enabled: bool (optional)   Determines if the workspace can be accessed over public internet. For fully private workspaces, you   can optionally specify false, but only if you implement both the front-end and the back-end   PrivateLink connections. Otherwise, specify true, which means that public access is enabled. :param region: str (optional)   The AWS region for workspaces attached to this private access settings object.  :returns: :class:`PrivateAccessSettings`",private_access,private_access_create,INSERT
provisioning,private_access_list,/api/2.0/accounts/{account_id}/private-access-settings,get,"provisioning, private_access",,Iterator[PrivateAccessSettings],Lists Databricks private access settings for an account.,Lists Databricks private access settings for an account.   :returns: Iterator over :class:`PrivateAccessSettings`,private_access,private_access_list,SELECT
provisioning,private_access_delete,/api/2.0/accounts/{account_id}/private-access-settings/{private_access_settings_id},delete,"provisioning, private_access",private_access_settings_id,PrivateAccessSettings,"Deletes a Databricks private access settings configuration, both specified by ID.","Deletes a Databricks private access settings configuration, both specified by ID.  :param private_access_settings_id: str  :returns: :class:`PrivateAccessSettings`",private_access,private_access_delete,DELETE
provisioning,private_access_get,/api/2.0/accounts/{account_id}/private-access-settings/{private_access_settings_id},get,"provisioning, private_access",private_access_settings_id,PrivateAccessSettings,"Gets a Databricks private access settings configuration, both specified by ID.","Gets a Databricks private access settings configuration, both specified by ID.  :param private_access_settings_id: str  :returns: :class:`PrivateAccessSettings`",private_access,private_access_get,SELECT
provisioning,private_access_replace,/api/2.0/accounts/{account_id}/private-access-settings/{private_access_settings_id},put,"provisioning, private_access","private_access_settings_id, customer_facing_private_access_settings",PrivateAccessSettings,"Updates an existing private access settings object, which specifies how your workspace is accessed","Updates an existing private access settings object, which specifies how your workspace is accessed over AWS PrivateLink. To use AWS PrivateLink, a workspace must have a private access settings object referenced by ID in the workspace's private_access_settings_id property. This operation completely overwrites your existing private access settings object attached to your workspaces. All workspaces attached to the private access settings are affected by any change. If public_access_enabled, private_access_level, or allowed_vpc_endpoint_ids are updated, effects of these changes might take several minutes to propagate to the workspace API. You can share one private access settings object with multiple workspaces in a single account. However, private access settings are specific to AWS regions, so only workspaces in the same AWS region can use a given private access settings object. Before configuring PrivateLink, read the Databricks article about PrivateLink.  :param private_access_settings_id: str   Databricks private access settings ID. :param customer_facing_private_access_settings: :class:`PrivateAccessSettings`   Properties of the new private access settings object.  :returns: :class:`PrivateAccessSettings`",private_access,private_access_replace,REPLACE
provisioning,storage_create,/api/2.0/accounts/{account_id}/storage-configurations,post,"provisioning, storage","storage_configuration_name, root_bucket_info, role_arn",StorageConfiguration,Creates a Databricks storage configuration for an account.,"Creates a Databricks storage configuration for an account.  :param storage_configuration_name: str   The human-readable name of the storage configuration. :param root_bucket_info: :class:`RootBucketInfo`   Root S3 bucket information. :param role_arn: str (optional)   Optional IAM role that is used to access the workspace catalog which is created during workspace   creation for UC by Default. If a storage configuration with this field populated is used to create a   workspace, then a workspace catalog is created together with the workspace. The workspace catalog   shares the root bucket with internal workspace storage (including DBFS root) but uses a dedicated   bucket path prefix.  :returns: :class:`StorageConfiguration`",storage,storage_create,INSERT
provisioning,storage_list,/api/2.0/accounts/{account_id}/storage-configurations,get,"provisioning, storage",,Iterator[StorageConfiguration],"Lists Databricks storage configurations for an account, specified by ID.","Lists Databricks storage configurations for an account, specified by ID.   :returns: Iterator over :class:`StorageConfiguration`",storage,storage_list,SELECT
provisioning,storage_delete,/api/2.0/accounts/{account_id}/storage-configurations/{storage_configuration_id},delete,"provisioning, storage",storage_configuration_id,StorageConfiguration,Deletes a Databricks storage configuration. You cannot delete a storage configuration that is,Deletes a Databricks storage configuration. You cannot delete a storage configuration that is associated with any workspace.  :param storage_configuration_id: str  :returns: :class:`StorageConfiguration`,storage,storage_delete,DELETE
provisioning,storage_get,/api/2.0/accounts/{account_id}/storage-configurations/{storage_configuration_id},get,"provisioning, storage",storage_configuration_id,StorageConfiguration,"Gets a Databricks storage configuration for an account, both specified by ID.","Gets a Databricks storage configuration for an account, both specified by ID.  :param storage_configuration_id: str  :returns: :class:`StorageConfiguration`",storage,storage_get,SELECT
provisioning,vpc_endpoints_create,/api/2.0/accounts/{account_id}/vpc-endpoints,post,"provisioning, vpc_endpoints","aws_vpc_endpoint_id, gcp_vpc_endpoint_info, region, vpc_endpoint_name",VpcEndpoint,"Creates a VPC endpoint configuration, which represents a [VPC endpoint] object in AWS used to","Creates a VPC endpoint configuration, which represents a [VPC endpoint] object in AWS used to communicate privately with Databricks over [AWS PrivateLink].  After you create the VPC endpoint configuration, the Databricks [endpoint service] automatically accepts the VPC endpoint.  Before configuring PrivateLink, read the [Databricks article about PrivateLink].  [AWS PrivateLink]: https://aws.amazon.com/privatelink [Databricks article about PrivateLink]: https://docs.databricks.com/administration-guide/cloud-configurations/aws/privatelink.html [VPC endpoint]: https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints.html [endpoint service]: https://docs.aws.amazon.com/vpc/latest/privatelink/privatelink-share-your-services.html  :param aws_vpc_endpoint_id: str (optional)   The ID of the VPC endpoint object in AWS. :param gcp_vpc_endpoint_info: :class:`GcpVpcEndpointInfo` (optional)   The cloud info of this vpc endpoint. :param region: str (optional)   The region in which this VPC endpoint object exists. :param vpc_endpoint_name: str (optional)   The human-readable name of the storage configuration.  :returns: :class:`VpcEndpoint`",vpc_endpoints,vpc_endpoints_create,INSERT
provisioning,vpc_endpoints_list,/api/2.0/accounts/{account_id}/vpc-endpoints,get,"provisioning, vpc_endpoints",,Iterator[VpcEndpoint],Lists Databricks VPC endpoint configurations for an account.,Lists Databricks VPC endpoint configurations for an account.   :returns: Iterator over :class:`VpcEndpoint`,vpc_endpoints,vpc_endpoints_list,SELECT
provisioning,vpc_endpoints_delete,/api/2.0/accounts/{account_id}/vpc-endpoints/{vpc_endpoint_id},delete,"provisioning, vpc_endpoints",vpc_endpoint_id,VpcEndpoint,Deletes a Databricks VPC endpoint configuration. You cannot delete a VPC endpoint configuration that,Deletes a Databricks VPC endpoint configuration. You cannot delete a VPC endpoint configuration that is associated with any workspace.  :param vpc_endpoint_id: str  :returns: :class:`VpcEndpoint`,vpc_endpoints,vpc_endpoints_delete,DELETE
provisioning,vpc_endpoints_get,/api/2.0/accounts/{account_id}/vpc-endpoints/{vpc_endpoint_id},get,"provisioning, vpc_endpoints",vpc_endpoint_id,VpcEndpoint,"Gets a VPC endpoint configuration, which represents a [VPC endpoint] object in AWS used to communicate","Gets a VPC endpoint configuration, which represents a [VPC endpoint] object in AWS used to communicate privately with Databricks over [AWS PrivateLink].  [AWS PrivateLink]: https://aws.amazon.com/privatelink [VPC endpoint]: https://docs.aws.amazon.com/vpc/latest/privatelink/concepts.html  :param vpc_endpoint_id: str   Databricks VPC endpoint ID.  :returns: :class:`VpcEndpoint`",vpc_endpoints,vpc_endpoints_get,SELECT
