filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
agentbricks.json,/api/2.0/custom-llms/{id}/optimize/cancel,agent_bricks_cancel_optimize,post,,"agentbricks, agent_bricks",id,Cancel a Custom LLM Optimization Run.,Cancel a Custom LLM Optimization Run.  :param id: str,custom_llms,cancel_optimize,exec,
agentbricks.json,/api/2.0/custom-llms,agent_bricks_create_custom_llm,post,CustomLlm,"agentbricks, agent_bricks","name, instructions, agent_artifact_path, datasets, guidelines",Create a Custom LLM.,"Create a Custom LLM.  :param name: str   Name of the custom LLM. Only alphanumeric characters and dashes allowed. :param instructions: str   Instructions for the custom LLM to follow :param agent_artifact_path: str (optional)   This will soon be deprecated!! Optional: UC path for agent artifacts. If you are using a dataset   that you only have read permissions, please provide a destination path where you have write   permissions. Please provide this in catalog.schema format. :param datasets: List[:class:`Dataset`] (optional)   Datasets used for training and evaluating the model, not for inference. Currently, only 1 dataset is   accepted. :param guidelines: List[str] (optional)   Guidelines for the custom LLM to adhere to  :returns: :class:`CustomLlm`",custom_llms,create,insert,
agentbricks.json,/api/2.0/custom-llms/{id},agent_bricks_delete_custom_llm,delete,,"agentbricks, agent_bricks",id,Delete a Custom LLM.,Delete a Custom LLM.  :param id: str   The id of the custom llm,custom_llms,delete,delete,
agentbricks.json,/api/2.0/custom-llms/{id},agent_bricks_get_custom_llm,get,CustomLlm,"agentbricks, agent_bricks",id,Get a Custom LLM.,Get a Custom LLM.  :param id: str   The id of the custom llm  :returns: :class:`CustomLlm`,custom_llms,get,select,
agentbricks.json,/api/2.0/custom-llms/{id},agent_bricks_update_custom_llm,patch,CustomLlm,"agentbricks, agent_bricks","id, custom_llm, update_mask",Update a Custom LLM.,"Update a Custom LLM.  :param id: str   The id of the custom llm :param custom_llm: :class:`CustomLlm`   The CustomLlm containing the fields which should be updated. :param update_mask: str   The list of the CustomLlm fields to update. These should correspond to the values (or lack thereof)   present in `custom_llm`.    The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`CustomLlm`",custom_llms,update,update,
agentbricks.json,/api/2.0/custom-llms/{id}/optimize,agent_bricks_start_optimize,post,CustomLlm,"agentbricks, agent_bricks",id,Start a Custom LLM Optimization Run.,Start a Custom LLM Optimization Run.  :param id: str   The Id of the tile.  :returns: :class:`CustomLlm`,custom_llms,start_optimize,exec,
apps.json,/api/2.0/apps/{app_name}/deployments,apps_deploy,post,AppDeployment,apps,"app_name, app_deployment",Creates an app deployment for the app with the supplied name.,Creates an app deployment for the app with the supplied name.  :param app_name: str   The name of the app. :param app_deployment: :class:`AppDeployment`   The app deployment configuration.  :returns:   Long-running operation waiter for :class:`AppDeployment`.   See :method:wait_get_deployment_app_succeeded for more details.,app_deployments,create,insert,
apps.json,/api/2.0/apps/{app_name}/deployments,apps_list_deployments,get,ListAppDeploymentsResponse,apps,"app_name, page_size, page_token",Lists all app deployments for the app with the supplied name.,Lists all app deployments for the app with the supplied name.  :param app_name: str   The name of the app. :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of apps. Requests first page if absent.  :returns: Iterator over :class:`AppDeployment`,app_deployments,list,select,$.app_deployments
apps.json,/api/2.0/apps/{app_name}/deployments/{deployment_id},apps_get_deployment,get,AppDeployment,apps,"app_name, deployment_id",Retrieves information for the app deployment with the supplied name and deployment id.,Retrieves information for the app deployment with the supplied name and deployment id.  :param app_name: str   The name of the app. :param deployment_id: str   The unique id of the deployment.  :returns: :class:`AppDeployment`,app_deployments,get,select,
apps.json,/api/2.0/permissions/apps/{app_name}/permissionLevels,apps_get_permission_levels,get,GetAppPermissionLevelsResponse,apps,app_name,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param app_name: str   The app for which to get or manage permissions.  :returns: :class:`GetAppPermissionLevelsResponse`,app_permission_levels,get,select,
apps.json,/api/2.0/permissions/apps/{app_name},apps_get_permissions,get,AppPermissions,apps,app_name,Gets the permissions of an app. Apps can inherit permissions from their root object.,Gets the permissions of an app. Apps can inherit permissions from their root object.  :param app_name: str   The app for which to get or manage permissions.  :returns: :class:`AppPermissions`,app_permissions,get,select,
apps.json,/api/2.0/permissions/apps/{app_name},apps_set_permissions,put,AppPermissions,apps,"app_name, access_control_list","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct permissions if none are specified. Objects can inherit permissions from their root object.  :param app_name: str   The app for which to get or manage permissions. :param access_control_list: List[:class:`AppAccessControlRequest`] (optional)  :returns: :class:`AppPermissions`",app_permissions,set,replace,
apps.json,/api/2.0/permissions/apps/{app_name},apps_update_permissions,patch,AppPermissions,apps,"app_name, access_control_list",Updates the permissions on an app. Apps can inherit permissions from their root object.,Updates the permissions on an app. Apps can inherit permissions from their root object.  :param app_name: str   The app for which to get or manage permissions. :param access_control_list: List[:class:`AppAccessControlRequest`] (optional)  :returns: :class:`AppPermissions`,app_permissions,update,update,
apps.json,/api/2.0/apps/{app_name}/update,apps_create_update,post,AppUpdate,apps,"app_name, update_mask, app",Creates an app update and starts the update process. The update process is asynchronous and the status,"Creates an app update and starts the update process. The update process is asynchronous and the status of the update can be checked with the GetAppUpdate method.  :param app_name: str :param update_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future. :param app: :class:`App` (optional)  :returns:   Long-running operation waiter for :class:`AppUpdate`.   See :method:wait_get_update_app_succeeded for more details.",app_updates,create,insert,
apps.json,/api/2.0/apps/{app_name}/update,apps_get_update,get,AppUpdate,apps,app_name,Gets the status of an app update.,Gets the status of an app update.  :param app_name: str   The name of the app.  :returns: :class:`AppUpdate`,app_updates,get,select,
apps.json,/api/2.0/apps,apps_create,post,App,apps,"no_compute, app",Creates a new app.,"Creates a new app.  :param app: :class:`App` :param no_compute: bool (optional)   If true, the app will not be started after creation.  :returns:   Long-running operation waiter for :class:`App`.   See :method:wait_get_app_active for more details.",apps,create,insert,
apps.json,/api/2.0/apps,apps_list,get,ListAppsResponse,apps,"page_size, page_token",Lists all apps in the workspace.,Lists all apps in the workspace.  :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of apps. Requests first page if absent.  :returns: Iterator over :class:`App`,apps,list,select,$.apps
apps.json,/api/2.0/apps/{name},apps_delete,delete,App,apps,name,Deletes an app.,Deletes an app.  :param name: str   The name of the app.  :returns: :class:`App`,apps,delete,delete,
apps.json,/api/2.0/apps/{name},apps_get,get,App,apps,name,Retrieves information for the app with the supplied name.,Retrieves information for the app with the supplied name.  :param name: str   The name of the app.  :returns: :class:`App`,apps,get,select,
apps.json,/api/2.0/apps/{name},apps_update,patch,App,apps,"name, app",Updates the app with the supplied name.,Updates the app with the supplied name.  :param name: str   The name of the app. The name must contain only lowercase alphanumeric characters and hyphens. It   must be unique within the workspace. :param app: :class:`App`  :returns: :class:`App`,apps,update,update,
apps.json,/api/2.0/apps/{name}/start,apps_start,post,App,apps,name,Start the last active deployment of the app in the workspace.,Start the last active deployment of the app in the workspace.  :param name: str   The name of the app.  :returns:   Long-running operation waiter for :class:`App`.   See :method:wait_get_app_active for more details.,apps,start,exec,
apps.json,/api/2.0/apps/{name}/stop,apps_stop,post,App,apps,name,Stops the active deployment of the app in the workspace.,Stops the active deployment of the app in the workspace.  :param name: str   The name of the app.  :returns:   Long-running operation waiter for :class:`App`.   See :method:wait_get_app_stopped for more details.,apps,stop,exec,
apps.json,/api/2.0/apps-settings/templates,apps_settings_create_custom_template,post,CustomTemplate,"apps, apps_settings",template,Creates a custom template.,Creates a custom template.  :param template: :class:`CustomTemplate`  :returns: :class:`CustomTemplate`,apps_settings,create,insert,
apps.json,/api/2.0/apps-settings/templates,apps_settings_list_custom_templates,get,ListCustomTemplatesResponse,"apps, apps_settings","page_size, page_token",Lists all custom templates in the workspace.,Lists all custom templates in the workspace.  :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of custom templates. Requests first page if absent.  :returns: Iterator over :class:`CustomTemplate`,apps_settings,list,select,$.templates
apps.json,/api/2.0/apps-settings/templates/{name},apps_settings_delete_custom_template,delete,CustomTemplate,"apps, apps_settings",name,Deletes the custom template with the specified name.,Deletes the custom template with the specified name.  :param name: str   The name of the custom template.  :returns: :class:`CustomTemplate`,apps_settings,delete,delete,
apps.json,/api/2.0/apps-settings/templates/{name},apps_settings_get_custom_template,get,CustomTemplate,"apps, apps_settings",name,Gets the custom template with the specified name.,Gets the custom template with the specified name.  :param name: str   The name of the custom template.  :returns: :class:`CustomTemplate`,apps_settings,get,select,
apps.json,/api/2.0/apps-settings/templates/{name},apps_settings_update_custom_template,put,CustomTemplate,"apps, apps_settings","name, template",Updates the custom template with the specified name. Note that the template name cannot be updated.,"Updates the custom template with the specified name. Note that the template name cannot be updated.  :param name: str   The name of the template. It must contain only alphanumeric characters, hyphens, underscores, and   whitespaces. It must be unique within the workspace. :param template: :class:`CustomTemplate`  :returns: :class:`CustomTemplate`",apps_settings,replace,replace,
catalog.json,/api/2.1/unity-catalog/artifact-allowlists/{artifact_type.value},artifact_allowlists_get,get,ArtifactAllowlistInfo,"catalog, artifact_allowlists","artifact_type.value, artifact_type",Get the artifact allowlist of a certain artifact type. The caller must be a metastore admin or have,Get the artifact allowlist of a certain artifact type. The caller must be a metastore admin or have the **MANAGE ALLOWLIST** privilege on the metastore.  :param artifact_type: :class:`ArtifactType`   The artifact type of the allowlist.  :returns: :class:`ArtifactAllowlistInfo`,artifact_allowlists,get,select,
catalog.json,/api/2.1/unity-catalog/artifact-allowlists/{artifact_type.value},artifact_allowlists_update,put,ArtifactAllowlistInfo,"catalog, artifact_allowlists","artifact_type.value, artifact_type, artifact_matchers, created_at, created_by, metastore_id",Set the artifact allowlist of a certain artifact type. The whole artifact allowlist is replaced with,"Set the artifact allowlist of a certain artifact type. The whole artifact allowlist is replaced with the new allowlist. The caller must be a metastore admin or have the **MANAGE ALLOWLIST** privilege on the metastore.  :param artifact_type: :class:`ArtifactType`   The artifact type of the allowlist. :param artifact_matchers: List[:class:`ArtifactMatcher`]   A list of allowed artifact match patterns. :param created_at: int (optional)   Time at which this artifact allowlist was set, in epoch milliseconds. :param created_by: str (optional)   Username of the user who set the artifact allowlist. :param metastore_id: str (optional)   Unique identifier of parent metastore.  :returns: :class:`ArtifactAllowlistInfo`",artifact_allowlists,replace,replace,
catalog.json,/api/2.1/unity-catalog/catalogs,catalogs_create,post,CatalogInfo,"catalog, catalogs","name, comment, connection_name, options, properties, provider_name, share_name, storage_root",Creates a new catalog instance in the parent metastore if the caller is a metastore admin or has the,"Creates a new catalog instance in the parent metastore if the caller is a metastore admin or has the **CREATE_CATALOG** privilege.  :param name: str   Name of catalog. :param comment: str (optional)   User-provided free-form text description. :param connection_name: str (optional)   The name of the connection to an external data source. :param options: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param properties: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param provider_name: str (optional)   The name of delta sharing provider.    A Delta Sharing catalog is a catalog that is based on a Delta share on a remote sharing server. :param share_name: str (optional)   The name of the share under the share provider. :param storage_root: str (optional)   Storage root URL for managed tables within catalog.  :returns: :class:`CatalogInfo`",catalogs,create,insert,
catalog.json,/api/2.1/unity-catalog/catalogs,catalogs_list,get,ListCatalogsResponse,"catalog, catalogs","include_browse, include_unbound, max_results, page_token","Gets an array of catalogs in the metastore. If the caller is the metastore admin, all catalogs will be","Gets an array of catalogs in the metastore. If the caller is the metastore admin, all catalogs will be retrieved. Otherwise, only catalogs owned by the caller (or for which the caller has the **USE_CATALOG** privilege) will be retrieved. There is no guarantee of a specific ordering of the elements in the array.  NOTE: we recommend using max_results=0 to use the paginated version of this API. Unpaginated calls will be deprecated soon.  PAGINATION BEHAVIOR: When using pagination (max_results >= 0), a page may contain zero results while still providing a next_page_token. Clients must continue reading pages until next_page_token is absent, which is the only indication that the end of results has been reached.  :param include_browse: bool (optional)   Whether to include catalogs in the response for which the principal can only access selective   metadata for :param include_unbound: bool (optional)   Whether to include catalogs not bound to the workspace. Effective only if the user has permission to   update the catalog–workspace binding. :param max_results: int (optional)   Maximum number of catalogs to return. - when set to 0, the page length is set to a server configured   value (recommended); - when set to a value greater than 0, the page length is the minimum of this   value and a server configured value; - when set to a value less than 0, an invalid parameter error   is returned; - If not set, all valid catalogs are returned (not recommended). - Note: The number of   returned catalogs might be less than the specified max_results size, even zero. The only definitive   indication that no further catalogs can be fetched is when the next_page_token is unset from the   response. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CatalogInfo`",catalogs,list,select,$.catalogs
catalog.json,/api/2.1/unity-catalog/catalogs/{name},catalogs_delete,delete,,"catalog, catalogs","name, force",Deletes the catalog that matches the supplied name. The caller must be a metastore admin or the owner,Deletes the catalog that matches the supplied name. The caller must be a metastore admin or the owner of the catalog.  :param name: str   The name of the catalog. :param force: bool (optional)   Force deletion even if the catalog is not empty.,catalogs,delete,delete,
catalog.json,/api/2.1/unity-catalog/catalogs/{name},catalogs_get,get,CatalogInfo,"catalog, catalogs","name, include_browse","Gets the specified catalog in a metastore. The caller must be a metastore admin, the owner of the","Gets the specified catalog in a metastore. The caller must be a metastore admin, the owner of the catalog, or a user that has the **USE_CATALOG** privilege set for their account.  :param name: str   The name of the catalog. :param include_browse: bool (optional)   Whether to include catalogs in the response for which the principal can only access selective   metadata for  :returns: :class:`CatalogInfo`",catalogs,get,select,
