filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
catalog.json,/api/2.1/unity-catalog/artifact-allowlists/{artifact_type.value},artifact_allowlists_get,get,ArtifactAllowlistInfo,"catalog, artifact_allowlists","artifact_type.value, artifact_type",Get the artifact allowlist of a certain artifact type. The caller must be a metastore admin or have,Get the artifact allowlist of a certain artifact type. The caller must be a metastore admin or have the **MANAGE ALLOWLIST** privilege on the metastore.  :param artifact_type: :class:`ArtifactType`   The artifact type of the allowlist.  :returns: :class:`ArtifactAllowlistInfo`,artifact_allowlists,get,select,
catalog.json,/api/2.1/unity-catalog/artifact-allowlists/{artifact_type.value},artifact_allowlists_update,put,ArtifactAllowlistInfo,"catalog, artifact_allowlists","artifact_type.value, artifact_type, artifact_matchers, created_at, created_by, metastore_id",Set the artifact allowlist of a certain artifact type. The whole artifact allowlist is replaced with,"Set the artifact allowlist of a certain artifact type. The whole artifact allowlist is replaced with the new allowlist. The caller must be a metastore admin or have the **MANAGE ALLOWLIST** privilege on the metastore.  :param artifact_type: :class:`ArtifactType`   The artifact type of the allowlist. :param artifact_matchers: List[:class:`ArtifactMatcher`]   A list of allowed artifact match patterns. :param created_at: int (optional)   Time at which this artifact allowlist was set, in epoch milliseconds. :param created_by: str (optional)   Username of the user who set the artifact allowlist. :param metastore_id: str (optional)   Unique identifier of parent metastore.  :returns: :class:`ArtifactAllowlistInfo`",artifact_allowlists,replace,replace,
catalog.json,/api/2.1/unity-catalog/catalogs,catalogs_create,post,CatalogInfo,"catalog, catalogs","name, comment, connection_name, options, properties, provider_name, share_name, storage_root",Creates a new catalog instance in the parent metastore if the caller is a metastore admin or has the,"Creates a new catalog instance in the parent metastore if the caller is a metastore admin or has the **CREATE_CATALOG** privilege.  :param name: str   Name of catalog. :param comment: str (optional)   User-provided free-form text description. :param connection_name: str (optional)   The name of the connection to an external data source. :param options: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param properties: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param provider_name: str (optional)   The name of delta sharing provider.    A Delta Sharing catalog is a catalog that is based on a Delta share on a remote sharing server. :param share_name: str (optional)   The name of the share under the share provider. :param storage_root: str (optional)   Storage root URL for managed tables within catalog.  :returns: :class:`CatalogInfo`",catalogs,create,insert,
catalog.json,/api/2.1/unity-catalog/catalogs,catalogs_list,get,ListCatalogsResponse,"catalog, catalogs","include_browse, include_unbound, max_results, page_token","Gets an array of catalogs in the metastore. If the caller is the metastore admin, all catalogs will be","Gets an array of catalogs in the metastore. If the caller is the metastore admin, all catalogs will be retrieved. Otherwise, only catalogs owned by the caller (or for which the caller has the **USE_CATALOG** privilege) will be retrieved. There is no guarantee of a specific ordering of the elements in the array.  NOTE: we recommend using max_results=0 to use the paginated version of this API. Unpaginated calls will be deprecated soon.  PAGINATION BEHAVIOR: When using pagination (max_results >= 0), a page may contain zero results while still providing a next_page_token. Clients must continue reading pages until next_page_token is absent, which is the only indication that the end of results has been reached.  :param include_browse: bool (optional)   Whether to include catalogs in the response for which the principal can only access selective   metadata for :param include_unbound: bool (optional)   Whether to include catalogs not bound to the workspace. Effective only if the user has permission to   update the catalog–workspace binding. :param max_results: int (optional)   Maximum number of catalogs to return. - when set to 0, the page length is set to a server configured   value (recommended); - when set to a value greater than 0, the page length is the minimum of this   value and a server configured value; - when set to a value less than 0, an invalid parameter error   is returned; - If not set, all valid catalogs are returned (not recommended). - Note: The number of   returned catalogs might be less than the specified max_results size, even zero. The only definitive   indication that no further catalogs can be fetched is when the next_page_token is unset from the   response. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CatalogInfo`",catalogs,list,select,$.catalogs
catalog.json,/api/2.1/unity-catalog/catalogs/{name},catalogs_delete,delete,,"catalog, catalogs","name, force",Deletes the catalog that matches the supplied name. The caller must be a metastore admin or the owner,Deletes the catalog that matches the supplied name. The caller must be a metastore admin or the owner of the catalog.  :param name: str   The name of the catalog. :param force: bool (optional)   Force deletion even if the catalog is not empty.,catalogs,delete,delete,
catalog.json,/api/2.1/unity-catalog/catalogs/{name},catalogs_get,get,CatalogInfo,"catalog, catalogs","name, include_browse","Gets the specified catalog in a metastore. The caller must be a metastore admin, the owner of the","Gets the specified catalog in a metastore. The caller must be a metastore admin, the owner of the catalog, or a user that has the **USE_CATALOG** privilege set for their account.  :param name: str   The name of the catalog. :param include_browse: bool (optional)   Whether to include catalogs in the response for which the principal can only access selective   metadata for  :returns: :class:`CatalogInfo`",catalogs,get,select,
catalog.json,/api/2.1/unity-catalog/catalogs/{name},catalogs_update,patch,CatalogInfo,"catalog, catalogs","name, comment, enable_predictive_optimization, isolation_mode, new_name, options, owner, properties",Updates the catalog that matches the supplied name. The caller must be either the owner of the,"Updates the catalog that matches the supplied name. The caller must be either the owner of the catalog, or a metastore admin (when changing the owner field of the catalog).  :param name: str   The name of the catalog. :param comment: str (optional)   User-provided free-form text description. :param enable_predictive_optimization: :class:`EnablePredictiveOptimization` (optional)   Whether predictive optimization should be enabled for this object and objects under it. :param isolation_mode: :class:`CatalogIsolationMode` (optional)   Whether the current securable is accessible from all workspaces or a specific set of workspaces. :param new_name: str (optional)   New name for the catalog. :param options: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param owner: str (optional)   Username of current owner of catalog. :param properties: Dict[str,str] (optional)   A map of key-value properties attached to the securable.  :returns: :class:`CatalogInfo`",catalogs,update,update,
catalog.json,/api/2.1/unity-catalog/connections,connections_create,post,ConnectionInfo,"catalog, connections","name, connection_type, options, comment, properties, read_only",Creates a new connection,"Creates a new connection  Creates a new connection to an external data source. It allows users to specify connection details and configurations for interaction with the external server.  :param name: str   Name of the connection. :param connection_type: :class:`ConnectionType`   The type of connection. :param options: Dict[str,str]   A map of key-value properties attached to the securable. :param comment: str (optional)   User-provided free-form text description. :param properties: Dict[str,str] (optional)   A map of key-value properties attached to the securable. :param read_only: bool (optional)   If the connection is read only.  :returns: :class:`ConnectionInfo`",connections,create,insert,
catalog.json,/api/2.1/unity-catalog/connections,connections_list,get,ListConnectionsResponse,"catalog, connections","max_results, page_token",List all connections.,"List all connections.  NOTE: we recommend using max_results=0 to use the paginated version of this API. Unpaginated calls will be deprecated soon.  PAGINATION BEHAVIOR: When using pagination (max_results >= 0), a page may contain zero results while still providing a next_page_token. Clients must continue reading pages until next_page_token is absent, which is the only indication that the end of results has been reached.  :param max_results: int (optional)   Maximum number of connections to return. - If not set, all connections are returned (not   recommended). - when set to a value greater than 0, the page length is the minimum of this value and   a server configured value; - when set to 0, the page length is set to a server configured value   (recommended); - when set to a value less than 0, an invalid parameter error is returned; :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`ConnectionInfo`",connections,list,select,$.connections
catalog.json,/api/2.1/unity-catalog/connections/{name},connections_delete,delete,,"catalog, connections",name,Deletes the connection that matches the supplied name.,Deletes the connection that matches the supplied name.  :param name: str   The name of the connection to be deleted.,connections,delete,delete,
