filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name}/revisions/{etag},clean_room_asset_revisions_get,get,CleanRoomAsset,"cleanrooms, clean_room_asset_revisions","clean_room_name, asset_type.value, name, etag, asset_type",Get a specific revision of an asset,"Get a specific revision of an asset  :param clean_room_name: str   Name of the clean room. :param asset_type: :class:`CleanRoomAssetAssetType`   Asset type. Only NOTEBOOK_FILE is supported. :param name: str   Name of the asset. :param etag: str   Revision etag to fetch. If not provided, the latest revision will be returned.  :returns: :class:`CleanRoomAsset`",asset_revisions,get,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name}/revisions,clean_room_asset_revisions_list,get,Iterator[CleanRoomAsset],"cleanrooms, clean_room_asset_revisions","clean_room_name, asset_type.value, name, asset_type, page_size, page_token",List revisions for an asset,List revisions for an asset  :param clean_room_name: str   Name of the clean room. :param asset_type: :class:`CleanRoomAssetAssetType`   Asset type. Only NOTEBOOK_FILE is supported. :param name: str   Name of the asset. :param page_size: int (optional)   Maximum number of asset revisions to return. Defaults to 10. :param page_token: str (optional)   Opaque pagination token to go to next page based on the previous query.  :returns: Iterator over :class:`CleanRoomAsset`,asset_revisions,list,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets,clean_room_assets_create,post,CleanRoomAsset,"cleanrooms, clean_room_assets","clean_room_name, asset",Create a clean room asset —share an asset like a notebook or table into the clean room. For each UC,"Create a clean room asset —share an asset like a notebook or table into the clean room. For each UC asset that is added through this method, the clean room owner must also have enough privilege on the asset to consume it. The privilege must be maintained indefinitely for the clean room to be able to access the asset. Typically, you should use a group as the clean room owner.  :param clean_room_name: str   The name of the clean room this asset belongs to. This field is required for create operations and   populated by the server for responses. :param asset: :class:`CleanRoomAsset`  :returns: :class:`CleanRoomAsset`",assets,create,insert,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets,clean_room_assets_list,get,Iterator[CleanRoomAsset],"cleanrooms, clean_room_assets","clean_room_name, page_token",List assets.,List assets.  :param clean_room_name: str   Name of the clean room. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CleanRoomAsset`,assets,list,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name}/reviews,clean_room_assets_create_clean_room_asset_review,post,CreateCleanRoomAssetReviewResponse,"cleanrooms, clean_room_assets","clean_room_name, asset_type.value, name, asset_type, notebook_review",Submit an asset review,Submit an asset review  :param clean_room_name: str   Name of the clean room :param asset_type: :class:`CleanRoomAssetAssetType`   Asset type. Can either be NOTEBOOK_FILE or JAR_ANALYSIS. :param name: str   Name of the asset :param notebook_review: :class:`NotebookVersionReview` (optional)  :returns: :class:`CreateCleanRoomAssetReviewResponse`,assets,review,exec,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name},clean_room_assets_delete,delete,,"cleanrooms, clean_room_assets","clean_room_name, asset_type.value, name, asset_type",Delete a clean room asset - unshare/remove the asset from the clean room,"Delete a clean room asset - unshare/remove the asset from the clean room  :param clean_room_name: str   Name of the clean room. :param asset_type: :class:`CleanRoomAssetAssetType`   The type of the asset. :param name: str   The fully qualified name of the asset, it is same as the name field in CleanRoomAsset.",assets,delete,delete,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name},clean_room_assets_get,get,CleanRoomAsset,"cleanrooms, clean_room_assets","clean_room_name, asset_type.value, name, asset_type",Get the details of a clean room asset by its type and full name.,"Get the details of a clean room asset by its type and full name.  :param clean_room_name: str   Name of the clean room. :param asset_type: :class:`CleanRoomAssetAssetType`   The type of the asset. :param name: str   The fully qualified name of the asset, it is same as the name field in CleanRoomAsset.  :returns: :class:`CleanRoomAsset`",assets,get,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/assets/{asset_type.value}/{name},clean_room_assets_update,patch,CleanRoomAsset,"cleanrooms, clean_room_assets","clean_room_name, asset_type.value, name, asset_type, asset","Update a clean room asset. For example, updating the content of a notebook; changing the shared","Update a clean room asset. For example, updating the content of a notebook; changing the shared partitions of a table; etc.  :param clean_room_name: str   Name of the clean room. :param asset_type: :class:`CleanRoomAssetAssetType`   The type of the asset. :param name: str   A fully qualified name that uniquely identifies the asset within the clean room. This is also the   name displayed in the clean room UI.    For UC securable assets (tables, volumes, etc.), the format is   *shared_catalog*.*shared_schema*.*asset_name*    For notebooks, the name is the notebook file name. For jar analyses, the name is the jar analysis   name. :param asset: :class:`CleanRoomAsset`   The asset to update. The asset's `name` and `asset_type` fields are used to identify the asset to   update.  :returns: :class:`CleanRoomAsset`",assets,update,update,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/auto-approval-rules,clean_room_auto_approval_rules_create,post,CleanRoomAutoApprovalRule,"cleanrooms, clean_room_auto_approval_rules","clean_room_name, auto_approval_rule",Create an auto-approval rule,Create an auto-approval rule  :param clean_room_name: str   The name of the clean room this auto-approval rule belongs to. :param auto_approval_rule: :class:`CleanRoomAutoApprovalRule`  :returns: :class:`CleanRoomAutoApprovalRule`,auto_approval_rules,create,insert,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/auto-approval-rules,clean_room_auto_approval_rules_list,get,Iterator[CleanRoomAutoApprovalRule],"cleanrooms, clean_room_auto_approval_rules","clean_room_name, page_size, page_token",List all auto-approval rules for the caller,List all auto-approval rules for the caller  :param clean_room_name: str :param page_size: int (optional)   Maximum number of auto-approval rules to return. Defaults to 100. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CleanRoomAutoApprovalRule`,auto_approval_rules,list,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/auto-approval-rules/{rule_id},clean_room_auto_approval_rules_delete,delete,,"cleanrooms, clean_room_auto_approval_rules","clean_room_name, rule_id",Delete a auto-approval rule by rule ID,Delete a auto-approval rule by rule ID  :param clean_room_name: str :param rule_id: str,auto_approval_rules,delete,delete,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/auto-approval-rules/{rule_id},clean_room_auto_approval_rules_get,get,CleanRoomAutoApprovalRule,"cleanrooms, clean_room_auto_approval_rules","clean_room_name, rule_id",Get a auto-approval rule by rule ID,Get a auto-approval rule by rule ID  :param clean_room_name: str :param rule_id: str  :returns: :class:`CleanRoomAutoApprovalRule`,auto_approval_rules,get,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/auto-approval-rules/{rule_id},clean_room_auto_approval_rules_update,patch,CleanRoomAutoApprovalRule,"cleanrooms, clean_room_auto_approval_rules","clean_room_name, rule_id, auto_approval_rule",Update a auto-approval rule by rule ID,Update a auto-approval rule by rule ID  :param clean_room_name: str   The name of the clean room this auto-approval rule belongs to. :param rule_id: str   A generated UUID identifying the rule. :param auto_approval_rule: :class:`CleanRoomAutoApprovalRule`   The auto-approval rule to update. The rule_id field is used to identify the rule to update.  :returns: :class:`CleanRoomAutoApprovalRule`,auto_approval_rules,update,update,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/runs,clean_room_task_runs_list,get,Iterator[CleanRoomNotebookTaskRun],"cleanrooms, clean_room_task_runs","clean_room_name, notebook_name, page_size, page_token",List all the historical notebook task runs in a clean room.,List all the historical notebook task runs in a clean room.  :param clean_room_name: str   Name of the clean room. :param notebook_name: str (optional)   Notebook name :param page_size: int (optional)   The maximum number of task runs to return. Currently ignored - all runs will be returned. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CleanRoomNotebookTaskRun`,task_runs,list,select,
cleanrooms.json,/api/2.0/clean-rooms,clean_rooms_create,post,Wait[CleanRoom],"cleanrooms, clean_rooms",clean_room,Create a new clean room with the specified collaborators. This method is asynchronous; the returned,"Create a new clean room with the specified collaborators. This method is asynchronous; the returned name field inside the clean_room field can be used to poll the clean room status, using the :method:cleanrooms/get method. When this method returns, the clean room will be in a PROVISIONING state, with only name, owner, comment, created_at and status populated. The clean room will be usable once it enters an ACTIVE state.  The caller must be a metastore admin or have the **CREATE_CLEAN_ROOM** privilege on the metastore.  :param clean_room: :class:`CleanRoom`  :returns:   Long-running operation waiter for :class:`CleanRoom`.   See :method:wait_get_clean_room_active for more details.",clean_rooms,create,insert,
cleanrooms.json,/api/2.0/clean-rooms,clean_rooms_list,get,Iterator[CleanRoom],"cleanrooms, clean_rooms","page_size, page_token",Get a list of all clean rooms of the metastore. Only clean rooms the caller has access to are,"Get a list of all clean rooms of the metastore. Only clean rooms the caller has access to are returned.  :param page_size: int (optional)   Maximum number of clean rooms to return (i.e., the page length). Defaults to 100. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`CleanRoom`",clean_rooms,list,select,
cleanrooms.json,/api/2.0/clean-rooms/{clean_room_name}/output-catalogs,clean_rooms_create_output_catalog,post,CreateCleanRoomOutputCatalogResponse,"cleanrooms, clean_rooms","clean_room_name, output_catalog",Create the output catalog of the clean room.,Create the output catalog of the clean room.  :param clean_room_name: str   Name of the clean room. :param output_catalog: :class:`CleanRoomOutputCatalog`  :returns: :class:`CreateCleanRoomOutputCatalogResponse`,clean_rooms,create_output_catalog,exec,
cleanrooms.json,/api/2.0/clean-rooms/{name},clean_rooms_delete,delete,,"cleanrooms, clean_rooms",name,"Delete a clean room. After deletion, the clean room will be removed from the metastore. If the other","Delete a clean room. After deletion, the clean room will be removed from the metastore. If the other collaborators have not deleted the clean room, they will still have the clean room in their metastore, but it will be in a DELETED state and no operations other than deletion can be performed on it.  :param name: str   Name of the clean room.",clean_rooms,delete,delete,
cleanrooms.json,/api/2.0/clean-rooms/{name},clean_rooms_get,get,CleanRoom,"cleanrooms, clean_rooms",name,Get the details of a clean room given its name.,Get the details of a clean room given its name.  :param name: str  :returns: :class:`CleanRoom`,clean_rooms,get,select,
cleanrooms.json,/api/2.0/clean-rooms/{name},clean_rooms_update,patch,CleanRoom,"cleanrooms, clean_rooms","name, clean_room","Update a clean room. The caller must be the owner of the clean room, have **MODIFY_CLEAN_ROOM**","Update a clean room. The caller must be the owner of the clean room, have **MODIFY_CLEAN_ROOM** privilege, or be metastore admin.  When the caller is a metastore admin, only the __owner__ field can be updated.  :param name: str   Name of the clean room. :param clean_room: :class:`CleanRoom` (optional)  :returns: :class:`CleanRoom`",clean_rooms,update,update,
