filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
compute.json,/api/2.0/libraries/all-cluster-statuses,libraries_all_cluster_statuses,get,ListAllClusterLibraryStatusesResponse,"compute, libraries",,Get the status of all libraries on all clusters. A status is returned for all libraries installed on,Get the status of all libraries on all clusters. A status is returned for all libraries installed on this cluster via the API or the libraries UI.   :returns: Iterator over :class:`ClusterLibraryStatuses`,all_cluster_library_statuses,list,select,$.statuses
compute.json,/api/2.1/clusters/list-node-types,clusters_list_node_types,get,ListNodeTypesResponse,"compute, clusters",,Returns a list of supported Spark node types. These node types can be used to launch a cluster.,Returns a list of supported Spark node types. These node types can be used to launch a cluster.   :returns: :class:`ListNodeTypesResponse`,cluster_node_types,list,select,
compute.json,/api/2.0/permissions/clusters/{cluster_id}/permissionLevels,clusters_get_permission_levels,get,GetClusterPermissionLevelsResponse,"compute, clusters",cluster_id,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param cluster_id: str   The cluster for which to get or manage permissions.  :returns: :class:`GetClusterPermissionLevelsResponse`,cluster_permission_levels,get,select,
compute.json,/api/2.0/permissions/clusters/{cluster_id},clusters_get_permissions,get,ClusterPermissions,"compute, clusters",cluster_id,Gets the permissions of a cluster. Clusters can inherit permissions from their root object.,Gets the permissions of a cluster. Clusters can inherit permissions from their root object.  :param cluster_id: str   The cluster for which to get or manage permissions.  :returns: :class:`ClusterPermissions`,cluster_permissions,get,select,
compute.json,/api/2.0/permissions/clusters/{cluster_id},clusters_set_permissions,put,ClusterPermissions,"compute, clusters","cluster_id, access_control_list","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct permissions if none are specified. Objects can inherit permissions from their root object.  :param cluster_id: str   The cluster for which to get or manage permissions. :param access_control_list: List[:class:`ClusterAccessControlRequest`] (optional)  :returns: :class:`ClusterPermissions`",cluster_permissions,set,replace,
compute.json,/api/2.0/permissions/clusters/{cluster_id},clusters_update_permissions,patch,ClusterPermissions,"compute, clusters","cluster_id, access_control_list",Updates the permissions on a cluster. Clusters can inherit permissions from their root object.,Updates the permissions on a cluster. Clusters can inherit permissions from their root object.  :param cluster_id: str   The cluster for which to get or manage permissions. :param access_control_list: List[:class:`ClusterAccessControlRequest`] (optional)  :returns: :class:`ClusterPermissions`,cluster_permissions,update,update,
compute.json,/api/2.0/policies/clusters/create,cluster_policies_create,post,CreatePolicyResponse,"compute, cluster_policies","definition, description, libraries, max_clusters_per_user, name, policy_family_definition_overrides, policy_family_id",Creates a new policy with prescribed settings.,"Creates a new policy with prescribed settings.  :param definition: str (optional)   Policy definition document expressed in [Databricks Cluster Policy Definition Language].    [Databricks Cluster Policy Definition Language]: https://docs.databricks.com/administration-guide/clusters/policy-definition.html :param description: str (optional)   Additional human-readable description of the cluster policy. :param libraries: List[:class:`Library`] (optional)   A list of libraries to be installed on the next cluster restart that uses this policy. The maximum   number of libraries is 500. :param max_clusters_per_user: int (optional)   Max number of clusters per user that can be active using this policy. If not present, there is no   max limit. :param name: str (optional)   Cluster Policy name requested by the user. This has to be unique. Length must be between 1 and 100   characters. :param policy_family_definition_overrides: str (optional)   Policy definition JSON document expressed in [Databricks Policy Definition Language]. The JSON   document must be passed as a string and cannot be embedded in the requests.    You can use this to customize the policy definition inherited from the policy family. Policy rules   specified here are merged into the inherited policy definition.    [Databricks Policy Definition Language]: https://docs.databricks.com/administration-guide/clusters/policy-definition.html :param policy_family_id: str (optional)   ID of the policy family. The cluster policy's policy definition inherits the policy family's policy   definition.    Cannot be used with `definition`. Use `policy_family_definition_overrides` instead to customize the   policy definition.  :returns: :class:`CreatePolicyResponse`",cluster_policies,create,insert,
compute.json,/api/2.0/policies/clusters/delete,cluster_policies_delete,post,,"compute, cluster_policies",policy_id,"Delete a policy for a cluster. Clusters governed by this policy can still run, but cannot be edited.","Delete a policy for a cluster. Clusters governed by this policy can still run, but cannot be edited.  :param policy_id: str   The ID of the policy to delete.",cluster_policies,delete,delete,
compute.json,/api/2.0/policies/clusters/edit,cluster_policies_edit,post,,"compute, cluster_policies","policy_id, definition, description, libraries, max_clusters_per_user, name, policy_family_definition_overrides, policy_family_id",Update an existing policy for cluster. This operation may make some clusters governed by the previous,"Update an existing policy for cluster. This operation may make some clusters governed by the previous policy invalid.  :param policy_id: str   The ID of the policy to update. :param definition: str (optional)   Policy definition document expressed in [Databricks Cluster Policy Definition Language].    [Databricks Cluster Policy Definition Language]: https://docs.databricks.com/administration-guide/clusters/policy-definition.html :param description: str (optional)   Additional human-readable description of the cluster policy. :param libraries: List[:class:`Library`] (optional)   A list of libraries to be installed on the next cluster restart that uses this policy. The maximum   number of libraries is 500. :param max_clusters_per_user: int (optional)   Max number of clusters per user that can be active using this policy. If not present, there is no   max limit. :param name: str (optional)   Cluster Policy name requested by the user. This has to be unique. Length must be between 1 and 100   characters. :param policy_family_definition_overrides: str (optional)   Policy definition JSON document expressed in [Databricks Policy Definition Language]. The JSON   document must be passed as a string and cannot be embedded in the requests.    You can use this to customize the policy definition inherited from the policy family. Policy rules   specified here are merged into the inherited policy definition.    [Databricks Policy Definition Language]: https://docs.databricks.com/administration-guide/clusters/policy-definition.html :param policy_family_id: str (optional)   ID of the policy family. The cluster policy's policy definition inherits the policy family's policy   definition.    Cannot be used with `definition`. Use `policy_family_definition_overrides` instead to customize the   policy definition.",cluster_policies,replace,replace,
compute.json,/api/2.0/policies/clusters/get,cluster_policies_get,get,Policy,"compute, cluster_policies",policy_id,Get a cluster policy entity. Creation and editing is available to admins only.,Get a cluster policy entity. Creation and editing is available to admins only.  :param policy_id: str   Canonical unique identifier for the Cluster Policy.  :returns: :class:`Policy`,cluster_policies,get,select,
