filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
dashboards.json,/api/2.0/genie/spaces,genie_create_space,post,GenieSpace,"dashboards, genie","warehouse_id, serialized_space, description, parent_path, title",Creates a Genie space from a serialized payload.,"Creates a Genie space from a serialized payload.  :param warehouse_id: str   Warehouse to associate with the new space :param serialized_space: str   The contents of the Genie Space in serialized string form. Use the [Get Genie   Space](:method:genie/getspace) API to retrieve an example response, which includes the   `serialized_space` field. This field provides the structure of the JSON string that represents the   space's layout and components. :param description: str (optional)   Optional description :param parent_path: str (optional)   Parent folder path where the space will be registered :param title: str (optional)   Optional title override  :returns: :class:`GenieSpace`",genie,create,insert,
dashboards.json,/api/2.0/genie/spaces,genie_list_spaces,get,GenieListSpacesResponse,"dashboards, genie","page_size, page_token",Get list of Genie Spaces.,Get list of Genie Spaces.  :param page_size: int (optional)   Maximum number of spaces to return per page :param page_token: str (optional)   Pagination token for getting the next page of results  :returns: :class:`GenieListSpacesResponse`,genie,list,select,
dashboards.json,/api/2.0/genie/spaces/{space_id},genie_get_space,get,GenieSpace,"dashboards, genie","space_id, include_serialized_space",Get details of a Genie Space.,Get details of a Genie Space.  :param space_id: str   The ID associated with the Genie space :param include_serialized_space: bool (optional)   Whether to include the serialized space export in the response. Requires at least CAN EDIT   permission on the space.  :returns: :class:`GenieSpace`,genie,get,select,
dashboards.json,/api/2.0/genie/spaces/{space_id},genie_trash_space,delete,,"dashboards, genie",space_id,Move a Genie Space to the trash.,Move a Genie Space to the trash.  :param space_id: str   The ID associated with the Genie space to be sent to the trash.,genie,delete,delete,
dashboards.json,/api/2.0/genie/spaces/{space_id},genie_update_space,patch,GenieSpace,"dashboards, genie","space_id, description, serialized_space, title, warehouse_id",Updates a Genie space with a serialized payload.,"Updates a Genie space with a serialized payload.  :param space_id: str   Genie space ID :param description: str (optional)   Optional description :param serialized_space: str (optional)   The contents of the Genie Space in serialized string form (full replacement). Use the [Get Genie   Space](:method:genie/getspace) API to retrieve an example response, which includes the   `serialized_space` field. This field provides the structure of the JSON string that represents the   space's layout and components. :param title: str (optional)   Optional title override :param warehouse_id: str (optional)   Optional warehouse override  :returns: :class:`GenieSpace`",genie,update,update,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id},genie_delete_conversation,delete,,"dashboards, genie","space_id, conversation_id",Delete a conversation.,Delete a conversation.  :param space_id: str   The ID associated with the Genie space where the conversation is located. :param conversation_id: str   The ID of the conversation to delete.,genie_conversations,delete,delete,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations,genie_list_conversations,get,GenieListConversationsResponse,"dashboards, genie","space_id, include_all, page_size, page_token",Get a list of conversations in a Genie Space.,Get a list of conversations in a Genie Space.  :param space_id: str   The ID of the Genie space to retrieve conversations from. :param include_all: bool (optional)   Include all conversations in the space across all users. Requires at least CAN MANAGE permission on   the space. :param page_size: int (optional)   Maximum number of conversations to return per page :param page_token: str (optional)   Token to get the next page of results  :returns: :class:`GenieListConversationsResponse`,genie_conversations,list,select,
dashboards.json,/api/2.0/genie/spaces/{space_id}/start-conversation,genie_start_conversation,post,Wait[GenieMessage],"dashboards, genie","space_id, content",Start a new conversation.,Start a new conversation.  :param space_id: str   The ID associated with the Genie space where you want to start a conversation. :param content: str   The text of the message that starts the conversation.  :returns:   Long-running operation waiter for :class:`GenieMessage`.   See :method:wait_get_message_genie_completed for more details.,genie_conversations,start,exec,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/attachments/{attachment_id}/downloads,genie_generate_download_full_query_result,post,GenieGenerateDownloadFullQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id, attachment_id",Initiates a new SQL execution and returns a `download_id` and `download_id_signature` that you can use,"Initiates a new SQL execution and returns a `download_id` and `download_id_signature` that you can use to track the progress of the download. The query result is stored in an external link and can be retrieved using the [Get Download Full Query Result](:method:genie/getdownloadfullqueryresult) API. Both `download_id` and `download_id_signature` must be provided when calling the Get endpoint.  ----  ### **Warning: Databricks strongly recommends that you protect the URLs that are returned by the `EXTERNAL_LINKS` disposition.**  When you use the `EXTERNAL_LINKS` disposition, a short-lived, URL is generated, which can be used to download the results directly from . As a short-lived is embedded in this URL, you should protect the URL.  Because URLs are already generated with embedded temporary s, you must not set an `Authorization` header in the download requests.  See [Execute Statement](:method:statementexecution/executestatement) for more details.  ----  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID :param attachment_id: str   Attachment ID  :returns: :class:`GenieGenerateDownloadFullQueryResultResponse`",genie_message_attachment_downloads,generate_download,exec,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/attachments/{attachment_id}/downloads/{download_id},genie_get_download_full_query_result,get,GenieGetDownloadFullQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id, attachment_id, download_id, download_id_signature",After [Generating a Full Query Result Download](:method:genie/generatedownloadfullqueryresult) and,"After [Generating a Full Query Result Download](:method:genie/generatedownloadfullqueryresult) and successfully receiving a `download_id` and `download_id_signature`, use this API to poll the download progress. Both `download_id` and `download_id_signature` are required to call this endpoint. When the download is complete, the API returns the result in the `EXTERNAL_LINKS` disposition, containing one or more external links to the query result files.  ----  ### **Warning: Databricks strongly recommends that you protect the URLs that are returned by the `EXTERNAL_LINKS` disposition.**  When you use the `EXTERNAL_LINKS` disposition, a short-lived, URL is generated, which can be used to download the results directly from . As a short-lived is embedded in this URL, you should protect the URL.  Because URLs are already generated with embedded temporary s, you must not set an `Authorization` header in the download requests.  See [Execute Statement](:method:statementexecution/executestatement) for more details.  ----  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID :param attachment_id: str   Attachment ID :param download_id: str   Download ID. This ID is provided by the [Generate Download   endpoint](:method:genie/generateDownloadFullQueryResult) :param download_id_signature: str (optional)   JWT signature for the download_id to ensure secure access to query results  :returns: :class:`GenieGetDownloadFullQueryResultResponse`",genie_message_attachment_downloads,get_download,select,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/attachments/{attachment_id}/execute-query,genie_execute_message_attachment_query,post,GenieGetMessageQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id, attachment_id",Execute the SQL for a message query attachment. Use this API when the query attachment has expired and,Execute the SQL for a message query attachment. Use this API when the query attachment has expired and needs to be re-executed.  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID :param attachment_id: str   Attachment ID  :returns: :class:`GenieGetMessageQueryResultResponse`,genie_message_attachments,execute_attachment_query,exec,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/attachments/{attachment_id}/query-result,genie_get_message_attachment_query_result,get,GenieGetMessageQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id, attachment_id",Get the result of SQL query if the message has a query attachment. This is only available if a message,Get the result of SQL query if the message has a query attachment. This is only available if a message has a query attachment and the message status is `EXECUTING_QUERY` OR `COMPLETED`.  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID :param attachment_id: str   Attachment ID  :returns: :class:`GenieGetMessageQueryResultResponse`,genie_message_attachments,get_query_result,select,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/execute-query,genie_execute_message_query,post,GenieGetMessageQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id",DEPRECATED: Use [Execute Message Attachment Query](:method:genie/executemessageattachmentquery),DEPRECATED: Use [Execute Message Attachment Query](:method:genie/executemessageattachmentquery) instead.  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID  :returns: :class:`GenieGetMessageQueryResultResponse`,genie_messages,execute_query,exec,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/query-result,genie_get_message_query_result,get,GenieGetMessageQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id",DEPRECATED: Use [Get Message Attachment Query Result](:method:genie/getmessageattachmentqueryresult),DEPRECATED: Use [Get Message Attachment Query Result](:method:genie/getmessageattachmentqueryresult) instead.  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID  :returns: :class:`GenieGetMessageQueryResultResponse`,genie_messages,get_query_result_deprecated,exec,
dashboards.json,/api/2.0/genie/spaces/{space_id}/conversations/{conversation_id}/messages/{message_id}/query-result/{attachment_id},genie_get_message_query_result_by_attachment,get,GenieGetMessageQueryResultResponse,"dashboards, genie","space_id, conversation_id, message_id, attachment_id",DEPRECATED: Use [Get Message Attachment Query Result](:method:genie/getmessageattachmentqueryresult),DEPRECATED: Use [Get Message Attachment Query Result](:method:genie/getmessageattachmentqueryresult) instead.  :param space_id: str   Genie space ID :param conversation_id: str   Conversation ID :param message_id: str   Message ID :param attachment_id: str   Attachment ID  :returns: :class:`GenieGetMessageQueryResultResponse`,genie_messages,get_query_result_by_attachment,select,
