filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
database.json,/api/2.0/database/catalogs,database_create_database_catalog,post,DatabaseCatalog,database,catalog,Create a Database Catalog.,Create a Database Catalog.  :param catalog: :class:`DatabaseCatalog`  :returns: :class:`DatabaseCatalog`,database_catalogs,create,insert,
database.json,/api/2.0/database/instances/{instance_name}/catalogs,database_list_database_catalogs,get,ListDatabaseCatalogsResponse,database,"instance_name, page_size, page_token","This API is currently unimplemented, but exposed for Terraform support.","This API is currently unimplemented, but exposed for Terraform support.  :param instance_name: str   Name of the instance to get database catalogs for. :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of synced database tables. Requests first page if absent.  :returns: Iterator over :class:`DatabaseCatalog`",database_catalogs,list,select,$.database_catalogs
database.json,/api/2.0/database/catalogs/{name},database_delete_database_catalog,delete,,database,name,Delete a Database Catalog.,Delete a Database Catalog.  :param name: str,database_catalogs,delete,delete,
database.json,/api/2.0/database/catalogs/{name},database_get_database_catalog,get,DatabaseCatalog,database,name,Get a Database Catalog.,Get a Database Catalog.  :param name: str  :returns: :class:`DatabaseCatalog`,database_catalogs,get,select,
database.json,/api/2.0/database/catalogs/{name},database_update_database_catalog,patch,DatabaseCatalog,database,"name, update_mask, database_catalog","This API is currently unimplemented, but exposed for Terraform support.","This API is currently unimplemented, but exposed for Terraform support.  :param name: str   The name of the catalog in UC. :param database_catalog: :class:`DatabaseCatalog`   Note that updating a database catalog is not yet supported. :param update_mask: str   The list of fields to update. Setting this field is not yet supported.  :returns: :class:`DatabaseCatalog`",database_catalogs,update,update,
database.json,/api/2.0/database/credentials,database_generate_database_credential,post,DatabaseCredential,database,"claims, instance_names, request_id",Generates a credential that can be used to access database instances.,"Generates a credential that can be used to access database instances.  :param claims: List[:class:`RequestedClaims`] (optional)   The returned token will be scoped to the union of instance_names and instances containing the   specified UC tables, so instance_names is allowed to be empty. :param instance_names: List[str] (optional)   Instances to which the token will be scoped. :param request_id: str (optional)  :returns: :class:`DatabaseCredential`",database_credentials,generate,exec,
database.json,/api/2.0/database/instances/{instance_name}/roles,database_create_database_instance_role,post,DatabaseInstanceRole,database,"instance_name, database_instance_name, database_instance_role",Create a role for a Database Instance.,Create a role for a Database Instance.  :param instance_name: str :param database_instance_role: :class:`DatabaseInstanceRole` :param database_instance_name: str (optional)  :returns: :class:`DatabaseInstanceRole`,database_instance_roles,create,insert,
database.json,/api/2.0/database/instances/{instance_name}/roles/{name},database_get_database_instance_role,get,DatabaseInstanceRole,database,"instance_name, name",Gets a role for a Database Instance.,Gets a role for a Database Instance.  :param instance_name: str :param name: str  :returns: :class:`DatabaseInstanceRole`,database_instance_roles,get,select,
database.json,/api/2.0/database/instances/{instance_name}/roles/{name},database_delete_database_instance_role,delete,,database,"instance_name, name, allow_missing, reassign_owned_to",Deletes a role for a Database Instance.,Deletes a role for a Database Instance.  :param instance_name: str :param name: str :param allow_missing: bool (optional)   This is the AIP standard name for the equivalent of Postgres' `IF EXISTS` option :param reassign_owned_to: str (optional),database_instance_roles,delete,delete,
database.json,/api/2.0/database/instances/{instance_name}/roles,database_list_database_instance_roles,get,ListDatabaseInstanceRolesResponse,database,"instance_name, page_size, page_token",START OF PG ROLE APIs Section These APIs are marked a PUBLIC with stage < PUBLIC_PREVIEW. With more,"START OF PG ROLE APIs Section These APIs are marked a PUBLIC with stage < PUBLIC_PREVIEW. With more recent Lakebase V2 plans, we don't plan to ever advance these to PUBLIC_PREVIEW. These APIs will remain effectively undocumented/UI-only and we'll aim for a new public roles API as part of V2 PuPr.  :param instance_name: str :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of Database Instances. Requests first page if absent.  :returns: Iterator over :class:`DatabaseInstanceRole`",database_instance_roles,list,select,$.database_instance_roles
database.json,/api/2.0/database/instances,database_create_database_instance,post,DatabaseInstance,database,database_instance,Create a Database Instance.,Create a Database Instance.  :param database_instance: :class:`DatabaseInstance`   Instance to create.  :returns:   Long-running operation waiter for :class:`DatabaseInstance`.   See :method:wait_get_database_instance_database_available for more details.,database_instances,create,insert,
database.json,/api/2.0/database/instances/{name},database_get_database_instance,get,DatabaseInstance,database,name,Get a Database Instance.,Get a Database Instance.  :param name: str   Name of the cluster to get.  :returns: :class:`DatabaseInstance`,database_instances,get,select,
database.json,/api/2.0/database/instances/{name},database_delete_database_instance,delete,,database,"name, force, purge",Delete a Database Instance.,"Delete a Database Instance.  :param name: str   Name of the instance to delete. :param force: bool (optional)   By default, a instance cannot be deleted if it has descendant instances created via PITR. If this   flag is specified as true, all descendent instances will be deleted as well. :param purge: bool (optional)   Deprecated. Omitting the field or setting it to true will result in the field being hard deleted.   Setting a value of false will throw a bad request.",database_instances,delete,delete,
database.json,/api/2.0/database/instances/{name},database_update_database_instance,patch,DatabaseInstance,database,"name, update_mask, database_instance",Update a Database Instance.,"Update a Database Instance.  :param name: str   The name of the instance. This is the unique identifier for the instance. :param database_instance: :class:`DatabaseInstance` :param update_mask: str   The list of fields to update. If unspecified, all fields will be updated when possible. To wipe out   custom_tags, specify custom_tags in the update_mask with an empty custom_tags map.  :returns: :class:`DatabaseInstance`",database_instances,update,update,
database.json,/api/2.0/database/instances,database_list_database_instances,get,ListDatabaseInstancesResponse,database,"page_size, page_token",List Database Instances.,List Database Instances.  :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of Database Instances. Requests first page if absent.  :returns: Iterator over :class:`DatabaseInstance`,database_instances,list,select,$.database_instances
database.json,/api/2.0/database/instances:findByUid,database_find_database_instance_by_uid,get,DatabaseInstance,database,uid,Find a Database Instance by uid.,Find a Database Instance by uid.  :param uid: str (optional)   UID of the cluster to get.  :returns: :class:`DatabaseInstance`,database_instances,find_by_uid,select,
database.json,/api/2.0/database/tables/{name},database_delete_database_table,delete,,database,name,Delete a Database Table.,Delete a Database Table.  :param name: str,database_tables,delete,delete,
database.json,/api/2.0/database/tables/{name},database_get_database_table,get,DatabaseTable,database,name,Get a Database Table.,Get a Database Table.  :param name: str  :returns: :class:`DatabaseTable`,database_tables,get,select,
database.json,/api/2.0/database/tables,database_create_database_table,post,DatabaseTable,database,table,Create a Database Table. Useful for registering pre-existing PG tables in UC. See,Create a Database Table. Useful for registering pre-existing PG tables in UC. See CreateSyncedDatabaseTable for creating synced tables in PG from a source table in UC.  :param table: :class:`DatabaseTable`  :returns: :class:`DatabaseTable`,database_tables,create,insert,
database.json,/api/2.0/database/instances/{instance_name}/synced_tables,database_list_synced_database_tables,get,ListSyncedDatabaseTablesResponse,database,"instance_name, page_size, page_token","This API is currently unimplemented, but exposed for Terraform support.","This API is currently unimplemented, but exposed for Terraform support.  :param instance_name: str   Name of the instance to get synced tables for. :param page_size: int (optional)   Upper bound for items returned. :param page_token: str (optional)   Pagination token to go to the next page of synced database tables. Requests first page if absent.  :returns: Iterator over :class:`SyncedDatabaseTable`",synced_database_tables,list,select,$.synced_tables
database.json,/api/2.0/database/synced_tables/{name},database_get_synced_database_table,get,SyncedDatabaseTable,database,name,Get a Synced Database Table.,Get a Synced Database Table.  :param name: str  :returns: :class:`SyncedDatabaseTable`,synced_database_tables,get,select,
database.json,/api/2.0/database/synced_tables/{name},database_delete_synced_database_table,delete,,database,"name, purge_data",Delete a Synced Database Table.,"Delete a Synced Database Table.  :param name: str :param purge_data: bool (optional)   Optional. When set to true, the actual PostgreSQL table will be dropped from the database.",synced_database_tables,delete,delete,
database.json,/api/2.0/database/synced_tables/{name},database_update_synced_database_table,patch,SyncedDatabaseTable,database,"name, update_mask, synced_table","This API is currently unimplemented, but exposed for Terraform support.","This API is currently unimplemented, but exposed for Terraform support.  :param name: str   Full three-part (catalog, schema, table) name of the table. :param synced_table: :class:`SyncedDatabaseTable`   Note that updating a synced database table is not yet supported. :param update_mask: str   The list of fields to update. Setting this field is not yet supported.  :returns: :class:`SyncedDatabaseTable`",synced_database_tables,update,update,
database.json,/api/2.0/database/synced_tables,database_create_synced_database_table,post,SyncedDatabaseTable,database,synced_table,Create a Synced Database Table.,Create a Synced Database Table.  :param synced_table: :class:`SyncedDatabaseTable`  :returns: :class:`SyncedDatabaseTable`,synced_database_tables,create,insert,
