filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id}/refreshes/{refresh_id}/cancel,data_quality_cancel_refresh,post,CancelRefreshResponse,"dataquality, data_quality","object_type, object_id, refresh_id",Cancels a data quality monitor refresh. Currently only supported for the `table` `object_type`. The,"Cancels a data quality monitor refresh. Currently only supported for the `table` `object_type`. The call must be made in the same workspace as where the monitor was created.  The caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **MANAGE** on the table.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param refresh_id: int   Unique id of the refresh operation.  :returns: :class:`CancelRefreshResponse`",data_quality_refreshes,cancel,exec,
dataquality.json,/api/data-quality/v1/monitors,data_quality_create_monitor,post,Monitor,"dataquality, data_quality",monitor,Create a data quality monitor on a Unity Catalog object. The caller must provide either,"Create a data quality monitor on a Unity Catalog object. The caller must provide either `anomaly_detection_config` for a schema monitor or `data_profiling_config` for a table monitor.  For the `table` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **SELECT** on the table 2. **USE_CATALOG** on the table's parent catalog, **MANAGE** and **USE_SCHEMA** on the table's parent schema, and **SELECT** on the table. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **MANAGE** and **SELECT** on the table.  Workspace assets, such as the dashboard, will be created in the workspace where this call was made.  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **MANAGE** and **USE_SCHEMA** on the schema.  :param monitor: :class:`Monitor`   The monitor to create.  :returns: :class:`Monitor`",data_quality,create,insert,
dataquality.json,/api/data-quality/v1/monitors,data_quality_list_monitor,get,Iterator[Monitor],"dataquality, data_quality","page_size, page_token",(Unimplemented) List data quality monitors.,(Unimplemented) List data quality monitors.  :param page_size: int (optional) :param page_token: str (optional)  :returns: Iterator over :class:`Monitor`,data_quality,list,select,$.monitors
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id}/refreshes,data_quality_create_refresh,post,Refresh,"dataquality, data_quality","object_type, object_id, refresh",Creates a refresh. Currently only supported for the `table` `object_type`. The call must be made in,"Creates a refresh. Currently only supported for the `table` `object_type`. The call must be made in the same workspace as where the monitor was created.  The caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **MANAGE** on the table.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema`or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param refresh: :class:`Refresh`   The refresh to create  :returns: :class:`Refresh`",data_quality_refreshes,create,insert,
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id}/refreshes,data_quality_list_refresh,get,Iterator[Refresh],"dataquality, data_quality","object_type, object_id, page_size, page_token",List data quality monitor refreshes. The call must be made in the same workspace as where the monitor,"List data quality monitor refreshes. The call must be made in the same workspace as where the monitor was created.  For the `table` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **SELECT** on the table.  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **USE_SCHEMA** on the schema.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param page_size: int (optional) :param page_token: str (optional)  :returns: Iterator over :class:`Refresh`",data_quality_refreshes,list,select,$.refreshes
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id},data_quality_delete_monitor,delete,,"dataquality, data_quality","object_type, object_id",Delete a data quality monitor on Unity Catalog object.,"Delete a data quality monitor on Unity Catalog object.  For the `table` `object_type`, the caller must have either of the following sets of permissions: **MANAGE** and **USE_CATALOG** on the table's parent catalog. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **MANAGE** on the table.  Note that the metric tables and dashboard will not be deleted as part of this call; those assets must be manually cleaned up (if desired).  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **MANAGE** and **USE_SCHEMA** on the schema.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id",data_quality,delete,delete,
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id},data_quality_get_monitor,get,Monitor,"dataquality, data_quality","object_type, object_id",Read a data quality monitor on a Unity Catalog object.,"Read a data quality monitor on a Unity Catalog object.  For the `table` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **SELECT** on the table.  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **USE_SCHEMA** on the schema.  The returned information includes configuration values on the entity and parent entity as well as information on assets created by the monitor. Some information (e.g. dashboard) may be filtered out if the caller is in a different workspace than where the monitor was created.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id  :returns: :class:`Monitor`",data_quality,get,select,
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id},data_quality_update_monitor,patch,Monitor,"dataquality, data_quality","object_type, object_id, update_mask, monitor",Update a data quality monitor on Unity Catalog object.,"Update a data quality monitor on Unity Catalog object.  For the `table` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **MANAGE** on the table.  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **MANAGE** and **USE_SCHEMA** on the schema.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param monitor: :class:`Monitor`   The monitor to update. :param update_mask: str   The field mask to specify which fields to update as a comma-separated list. Example value:   `data_profiling_config.custom_metrics,data_profiling_config.schedule.quartz_cron_expression`  :returns: :class:`Monitor`",data_quality,update,update,
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id}/refreshes/{refresh_id},data_quality_delete_refresh,delete,,"dataquality, data_quality","object_type, object_id, refresh_id",(Unimplemented) Delete a refresh,"(Unimplemented) Delete a refresh  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param refresh_id: int   Unique id of the refresh operation.",data_quality_refreshes,delete,delete,
dataquality.json,/api/data-quality/v1/monitors/{object_type}/{object_id}/refreshes/{refresh_id},data_quality_get_refresh,get,Refresh,"dataquality, data_quality","object_type, object_id, refresh_id",Get data quality monitor refresh. The call must be made in the same workspace as where the monitor was,"Get data quality monitor refresh. The call must be made in the same workspace as where the monitor was created.  For the `table` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the table's parent catalog. 2. **USE_CATALOG** on the table's parent catalog, and **MANAGE** and **USE_SCHEMA** on the table's parent schema. 3. **USE_CATALOG** on the table's parent catalog, **USE_SCHEMA** on the table's parent schema, and **SELECT** on the table.  For the `schema` `object_type`, the caller must have either of the following sets of permissions: 1. **MANAGE** and **USE_CATALOG** on the schema's parent catalog. 2. **USE_CATALOG** on the schema's parent catalog, and **USE_SCHEMA** on the schema.  :param object_type: str   The type of the monitored object. Can be one of the following: `schema` or `table`. :param object_id: str   The UUID of the request object. It is `schema_id` for `schema`, and `table_id` for `table`.    Find the `schema_id` from either: 1. The [schema_id] of the `Schemas` resource. 2. In [Catalog   Explorer] > select the `schema` > go to the `Details` tab > the `Schema ID` field.    Find the `table_id` from either: 1. The [table_id] of the `Tables` resource. 2. In [Catalog   Explorer] > select the `table` > go to the `Details` tab > the `Table ID` field.    [Catalog Explorer]: https://docs.databricks.com/aws/en/catalog-explorer/   [schema_id]: https://docs.databricks.com/api/workspace/schemas/get#schema_id   [table_id]: https://docs.databricks.com/api/workspace/tables/get#table_id :param refresh_id: int   Unique id of the refresh operation.  :returns: :class:`Refresh`",data_quality_refreshes,get,select,
