filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
files.json,/api/2.0/dbfs/add-block,dbfs_add_block,post,,"files, dbfs","handle, data","Appends a block of data to the stream specified by the input handle. If the handle does not exist,","Appends a block of data to the stream specified by the input handle. If the handle does not exist, this call will throw an exception with ``RESOURCE_DOES_NOT_EXIST``.  If the block of data exceeds 1 MB, this call will throw an exception with ``MAX_BLOCK_SIZE_EXCEEDED``.  :param handle: int   The handle on an open stream. :param data: str   The base64-encoded data to append to the stream. This has a limit of 1 MB.",dbfs,add_block,exec,
files.json,/api/2.0/dbfs/close,dbfs_close,post,,"files, dbfs",handle,"Closes the stream specified by the input handle. If the handle does not exist, this call throws an","Closes the stream specified by the input handle. If the handle does not exist, this call throws an exception with ``RESOURCE_DOES_NOT_EXIST``.  :param handle: int   The handle on an open stream.",dbfs,close,exec,
files.json,/api/2.0/dbfs/create,dbfs_create,post,CreateResponse,"files, dbfs","path, overwrite",Opens a stream to write to a file and returns a handle to this stream. There is a 10 minute idle,"Opens a stream to write to a file and returns a handle to this stream. There is a 10 minute idle timeout on this handle. If a file or directory already exists on the given path and __overwrite__ is set to false, this call will throw an exception with ``RESOURCE_ALREADY_EXISTS``.  A typical workflow for file upload would be:  1. Issue a ``create`` call and get a handle. 2. Issue one or more ``add-block`` calls with the handle you have. 3. Issue a ``close`` call with the handle you have.  :param path: str   The path of the new file. The path should be the absolute DBFS path. :param overwrite: bool (optional)   The flag that specifies whether to overwrite existing file/files.  :returns: :class:`CreateResponse`",dbfs,create,insert,
files.json,/api/2.0/dbfs/delete,dbfs_delete,post,,"files, dbfs","path, recursive",Delete the file or directory (optionally recursively delete all files in the directory). This call,"Delete the file or directory (optionally recursively delete all files in the directory). This call throws an exception with `IO_ERROR` if the path is a non-empty directory and `recursive` is set to `false` or on other similar errors.  When you delete a large number of files, the delete operation is done in increments. The call returns a response after approximately 45 seconds with an error message (503 Service Unavailable) asking you to re-invoke the delete operation until the directory structure is fully deleted.  For operations that delete more than 10K files, we discourage using the DBFS REST API, but advise you to perform such operations in the context of a cluster, using the [File system utility (dbutils.fs)](/dev-tools/databricks-utils.html#dbutils-fs). `dbutils.fs` covers the functional scope of the DBFS REST API, but from notebooks. Running such operations using notebooks provides better control and manageability, such as selective deletes, and the possibility to automate periodic delete jobs.  :param path: str   The path of the file or directory to delete. The path should be the absolute DBFS path. :param recursive: bool (optional)   Whether or not to recursively delete the directory's contents. Deleting empty directories can be   done without providing the recursive flag.",dbfs,delete,delete,
files.json,/api/2.0/dbfs/get-status,dbfs_get_status,get,FileInfo,"files, dbfs",path,"Gets the file information for a file or directory. If the file or directory does not exist, this call","Gets the file information for a file or directory. If the file or directory does not exist, this call throws an exception with `RESOURCE_DOES_NOT_EXIST`.  :param path: str   The path of the file or directory. The path should be the absolute DBFS path.  :returns: :class:`FileInfo`",dbfs,get_status,exec,
files.json,/api/2.0/dbfs/list,dbfs_list,get,Iterator[FileInfo],"files, dbfs",path,"List the contents of a directory, or details of the file. If the file or directory does not exist,","List the contents of a directory, or details of the file. If the file or directory does not exist, this call throws an exception with `RESOURCE_DOES_NOT_EXIST`.  When calling list on a large directory, the list operation will time out after approximately 60 seconds. We strongly recommend using list only on directories containing less than 10K files and discourage using the DBFS REST API for operations that list more than 10K files. Instead, we recommend that you perform such operations in the context of a cluster, using the [File system utility (dbutils.fs)](/dev-tools/databricks-utils.html#dbutils-fs), which provides the same functionality without timing out.  :param path: str   The path of the file or directory. The path should be the absolute DBFS path.  :returns: Iterator over :class:`FileInfo`",dbfs,list,select,$.files
files.json,/api/2.0/dbfs/mkdirs,dbfs_mkdirs,post,,"files, dbfs",path,Creates the given directory and necessary parent directories if they do not exist. If a file (not a,"Creates the given directory and necessary parent directories if they do not exist. If a file (not a directory) exists at any prefix of the input path, this call throws an exception with `RESOURCE_ALREADY_EXISTS`. **Note**: If this operation fails, it might have succeeded in creating some of the necessary parent directories.  :param path: str   The path of the new directory. The path should be the absolute DBFS path.",dbfs,mkdirs,exec,
files.json,/api/2.0/dbfs/move,dbfs_move,post,,"files, dbfs","source_path, destination_path","Moves a file from one location to another location within DBFS. If the source file does not exist,","Moves a file from one location to another location within DBFS. If the source file does not exist, this call throws an exception with `RESOURCE_DOES_NOT_EXIST`. If a file already exists in the destination path, this call throws an exception with `RESOURCE_ALREADY_EXISTS`. If the given source path is a directory, this call always recursively moves all files.  :param source_path: str   The source path of the file or directory. The path should be the absolute DBFS path. :param destination_path: str   The destination path of the file or directory. The path should be the absolute DBFS path.",dbfs,move,exec,
files.json,/api/2.0/dbfs/put,dbfs_put,post,,"files, dbfs","path, contents, overwrite","Uploads a file through the use of multipart form post. It is mainly used for streaming uploads, but","Uploads a file through the use of multipart form post. It is mainly used for streaming uploads, but can also be used as a convenient single call for data upload.  Alternatively you can pass contents as base64 string.  The amount of data that can be passed (when not streaming) using the __contents__ parameter is limited to 1 MB. `MAX_BLOCK_SIZE_EXCEEDED` will be thrown if this limit is exceeded.  If you want to upload large files, use the streaming upload. For details, see :method:dbfs/create, :method:dbfs/addBlock, :method:dbfs/close.  :param path: str   The path of the new file. The path should be the absolute DBFS path. :param contents: str (optional)   This parameter might be absent, and instead a posted file will be used. :param overwrite: bool (optional)   The flag that specifies whether to overwrite existing file/files.",dbfs,put,exec,
files.json,/api/2.0/dbfs/read,dbfs_read,get,ReadResponse,"files, dbfs","path, length, offset","Returns the contents of a file. If the file does not exist, this call throws an exception with","Returns the contents of a file. If the file does not exist, this call throws an exception with `RESOURCE_DOES_NOT_EXIST`. If the path is a directory, the read length is negative, or if the offset is negative, this call throws an exception with `INVALID_PARAMETER_VALUE`. If the read length exceeds 1 MB, this call throws an exception with `MAX_READ_SIZE_EXCEEDED`.  If `offset + length` exceeds the number of bytes in a file, it reads the contents until the end of file.  :param path: str   The path of the file to read. The path should be the absolute DBFS path. :param length: int (optional)   The number of bytes to read starting from the offset. This has a limit of 1 MB, and a default value   of 0.5 MB. :param offset: int (optional)   The offset to read from in bytes.  :returns: :class:`ReadResponse`",dbfs,read,exec,
files.json,/api/2.0/fs/directories{directory_path},files_create_directory,put,,files,directory_path,"Creates an empty directory. If necessary, also creates any parent directories of the new, empty","Creates an empty directory. If necessary, also creates any parent directories of the new, empty directory (like the shell command `mkdir -p`). If called on an existing directory, returns a success response; this method is idempotent (it will succeed if the directory already exists).  :param directory_path: str   The absolute path of a directory.",files,create_directory,replace,
files.json,/api/2.0/fs/directories{directory_path},files_delete_directory,delete,,files,directory_path,Deletes an empty directory.,"Deletes an empty directory.  To delete a non-empty directory, first delete all of its contents. This can be done by listing the directory contents and deleting each file and subdirectory recursively.  :param directory_path: str   The absolute path of a directory.",files,delete_directory,delete,
