filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
jobs.json,/api/2.0/permissions/jobs/{job_id}/permissionLevels,jobs_get_permission_levels,get,GetJobPermissionLevelsResponse,jobs,job_id,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param job_id: str   The job for which to get or manage permissions.  :returns: :class:`GetJobPermissionLevelsResponse`,job_permission_levels,get,select,
jobs.json,/api/2.0/permissions/jobs/{job_id},jobs_get_permissions,get,JobPermissions,jobs,job_id,Gets the permissions of a job. Jobs can inherit permissions from their root object.,Gets the permissions of a job. Jobs can inherit permissions from their root object.  :param job_id: str   The job for which to get or manage permissions.  :returns: :class:`JobPermissions`,job_permissions,get,select,
jobs.json,/api/2.0/permissions/jobs/{job_id},jobs_set_permissions,put,JobPermissions,jobs,"job_id, access_control_list","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct permissions if none are specified. Objects can inherit permissions from their root object.  :param job_id: str   The job for which to get or manage permissions. :param access_control_list: List[:class:`JobAccessControlRequest`] (optional)  :returns: :class:`JobPermissions`",job_permissions,set,replace,
jobs.json,/api/2.0/permissions/jobs/{job_id},jobs_update_permissions,patch,JobPermissions,jobs,"job_id, access_control_list",Updates the permissions on a job. Jobs can inherit permissions from their root object.,Updates the permissions on a job. Jobs can inherit permissions from their root object.  :param job_id: str   The job for which to get or manage permissions. :param access_control_list: List[:class:`JobAccessControlRequest`] (optional)  :returns: :class:`JobPermissions`,job_permissions,update,update,
jobs.json,/api/2.2/jobs/runs/cancel-all,jobs_cancel_all_runs,post,,jobs,"all_queued_runs, job_id","Cancels all active runs of a job. The runs are canceled asynchronously, so it doesn't prevent new runs","Cancels all active runs of a job. The runs are canceled asynchronously, so it doesn't prevent new runs from being started.  :param all_queued_runs: bool (optional)   Optional boolean parameter to cancel all queued runs. If no job_id is provided, all queued runs in   the workspace are canceled. :param job_id: int (optional)   The canonical identifier of the job to cancel all runs of.",job_runs,cancel_all,exec,
jobs.json,/api/2.2/jobs/runs/cancel,jobs_cancel_run,post,Wait[Run],jobs,run_id,"Cancels a job run or a task run. The run is canceled asynchronously, so it may still be running when","Cancels a job run or a task run. The run is canceled asynchronously, so it may still be running when this request completes.  :param run_id: int   This field is required.  :returns:   Long-running operation waiter for :class:`Run`.   See :method:wait_get_run_job_terminated_or_skipped for more details.",job_runs,cancel,exec,
jobs.json,/api/2.2/jobs/runs/delete,jobs_delete_run,post,,jobs,run_id,Deletes a non-active run. Returns an error if the run is active.,Deletes a non-active run. Returns an error if the run is active.  :param run_id: int   ID of the run to delete.,job_runs,delete,delete,
jobs.json,/api/2.2/jobs/runs/export,jobs_export_run,get,ExportRunOutput,jobs,"run_id, views_to_export",Export and retrieve the job run task.,"Export and retrieve the job run task.  :param run_id: int   The canonical identifier for the run. This field is required. :param views_to_export: :class:`ViewsToExport` (optional)   Which views to export (CODE, DASHBOARDS, or ALL). Defaults to CODE.  :returns: :class:`ExportRunOutput`",job_runs,export,exec,
jobs.json,/api/2.2/jobs/runs/get,jobs_get_run,get,Run,jobs,"run_id, include_history, include_resolved_values, page_token",Retrieves the metadata of a run.,"Retrieves the metadata of a run.  Large arrays in the results will be paginated when they exceed 100 elements. A request for a single run will return all properties for that run, and the first 100 elements of array properties (`tasks`, `job_clusters`, `job_parameters` and `repair_history`). Use the next_page_token field to check for more results and pass its value as the page_token in subsequent requests. If any array properties have more than 100 elements, additional results will be returned on subsequent requests. Arrays without additional results will be empty on later pages.  :param run_id: int   The canonical identifier of the run for which to retrieve the metadata. This field is required. :param include_history: bool (optional)   Whether to include the repair history in the response. :param include_resolved_values: bool (optional)   Whether to include resolved parameter values in the response. :param page_token: str (optional)   Use `next_page_token` returned from the previous GetRun response to request the next page of the   run's array properties.  :returns: :class:`Run`",job_runs,get,select,
jobs.json,/api/2.2/jobs/runs/get-output,jobs_get_run_output,get,RunOutput,jobs,run_id,Retrieve the output and metadata of a single task run. When a notebook task returns a value through,"Retrieve the output and metadata of a single task run. When a notebook task returns a value through the `dbutils.notebook.exit()` call, you can use this endpoint to retrieve that value. Databricks restricts this API to returning the first 5 MB of the output. To return a larger result, you can store job results in a cloud storage service.  This endpoint validates that the __run_id__ parameter is valid and returns an HTTP status code 400 if the __run_id__ parameter is invalid. Runs are automatically removed after 60 days. If you to want to reference them beyond 60 days, you must save old run results before they expire.  :param run_id: int   The canonical identifier for the run.  :returns: :class:`RunOutput`",job_run_output,get_output,select,
