filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
ml.json,/api/2.0/permissions/experiments/{experiment_id}/permissionLevels,experiments_get_permission_levels,get,GetExperimentPermissionLevelsResponse,"ml, experiments",experiment_id,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param experiment_id: str   The experiment for which to get or manage permissions.  :returns: :class:`GetExperimentPermissionLevelsResponse`,experiment_permission_levels,get,select,
ml.json,/api/2.0/permissions/experiments/{experiment_id},experiments_get_permissions,get,ExperimentPermissions,"ml, experiments",experiment_id,Gets the permissions of an experiment. Experiments can inherit permissions from their root object.,Gets the permissions of an experiment. Experiments can inherit permissions from their root object.  :param experiment_id: str   The experiment for which to get or manage permissions.  :returns: :class:`ExperimentPermissions`,experiment_permissions,get,select,
ml.json,/api/2.0/permissions/experiments/{experiment_id},experiments_set_permissions,put,ExperimentPermissions,"ml, experiments","experiment_id, access_control_list","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct","Sets permissions on an object, replacing existing permissions if they exist. Deletes all direct permissions if none are specified. Objects can inherit permissions from their root object.  :param experiment_id: str   The experiment for which to get or manage permissions. :param access_control_list: List[:class:`ExperimentAccessControlRequest`] (optional)  :returns: :class:`ExperimentPermissions`",experiment_permissions,set,replace,
ml.json,/api/2.0/permissions/experiments/{experiment_id},experiments_update_permissions,patch,ExperimentPermissions,"ml, experiments","experiment_id, access_control_list",Updates the permissions on an experiment. Experiments can inherit permissions from their root object.,Updates the permissions on an experiment. Experiments can inherit permissions from their root object.  :param experiment_id: str   The experiment for which to get or manage permissions. :param access_control_list: List[:class:`ExperimentAccessControlRequest`] (optional)  :returns: :class:`ExperimentPermissions`,experiment_permissions,update,update,
ml.json,/api/2.0/mlflow/artifacts/list,experiments_list_artifacts,get,Iterator[FileInfo],"ml, experiments","page_token, path, run_id, run_uuid","List artifacts for a run. Takes an optional `artifact_path` prefix which if specified, the response","List artifacts for a run. Takes an optional `artifact_path` prefix which if specified, the response contains only artifacts with the specified prefix. A maximum of 1000 artifacts will be retrieved for UC Volumes. Please call `/api/2.0/fs/directories{directory_path}` for listing artifacts in UC Volumes, which supports pagination. See [List directory contents | Files API](/api/workspace/files/listdirectorycontents).  :param page_token: str (optional)   The token indicating the page of artifact results to fetch. `page_token` is not supported when   listing artifacts in UC Volumes. A maximum of 1000 artifacts will be retrieved for UC Volumes.   Please call `/api/2.0/fs/directories{directory_path}` for listing artifacts in UC Volumes, which   supports pagination. See [List directory contents | Files   API](/api/workspace/files/listdirectorycontents). :param path: str (optional)   Filter artifacts matching this path (a relative path from the root artifact directory). :param run_id: str (optional)   ID of the run whose artifacts to list. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run whose artifacts to list. This field will be removed   in a future MLflow version.  :returns: Iterator over :class:`FileInfo`",experiment_run_artifacts,list,select,
ml.json,/api/2.0/mlflow/metrics/get-history,experiments_get_history,get,Iterator[Metric],"ml, experiments","metric_key, max_results, page_token, run_id, run_uuid",Gets a list of all values for the specified metric for a given run.,"Gets a list of all values for the specified metric for a given run.  :param metric_key: str   Name of the metric. :param max_results: int (optional)   Maximum number of Metric records to return per paginated request. Default is set to 25,000. If set   higher than 25,000, a request Exception will be raised. :param page_token: str (optional)   Token indicating the page of metric histories to fetch. :param run_id: str (optional)   ID of the run from which to fetch metric values. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run from which to fetch metric values. This field will   be removed in a future MLflow version.  :returns: Iterator over :class:`Metric`",experiment_run_metrics,get,select,
ml.json,/api/2.0/mlflow/runs/create,experiments_create_run,post,CreateRunResponse,"ml, experiments","experiment_id, run_name, start_time, tags, user_id",Creates a new run within an experiment. A run is usually a single execution of a machine learning or,"Creates a new run within an experiment. A run is usually a single execution of a machine learning or data ETL pipeline. MLflow uses runs to track the `mlflowParam`, `mlflowMetric`, and `mlflowRunTag` associated with a single execution.  :param experiment_id: str (optional)   ID of the associated experiment. :param run_name: str (optional)   The name of the run. :param start_time: int (optional)   Unix timestamp in milliseconds of when the run started. :param tags: List[:class:`RunTag`] (optional)   Additional metadata for run. :param user_id: str (optional)   ID of the user executing the run. This field is deprecated as of MLflow 1.0, and will be removed in   a future MLflow release. Use 'mlflow.user' tag instead.  :returns: :class:`CreateRunResponse`",experiment_runs,create,insert,
ml.json,/api/2.0/mlflow/runs/delete,experiments_delete_run,post,,"ml, experiments",run_id,Marks a run for deletion.,Marks a run for deletion.  :param run_id: str   ID of the run to delete.,experiment_runs,delete,exec,
ml.json,/api/2.0/mlflow/databricks/runs/delete-runs,experiments_delete_runs,post,DeleteRunsResponse,"ml, experiments","experiment_id, max_timestamp_millis, max_runs",Bulk delete runs in an experiment that were created prior to or at the specified timestamp. Deletes at,"Bulk delete runs in an experiment that were created prior to or at the specified timestamp. Deletes at most max_runs per request. To call this API from a Databricks Notebook in Python, you can use the client code snippet on  :param experiment_id: str   The ID of the experiment containing the runs to delete. :param max_timestamp_millis: int   The maximum creation timestamp in milliseconds since the UNIX epoch for deleting runs. Only runs   created prior to or at this timestamp are deleted. :param max_runs: int (optional)   An optional positive integer indicating the maximum number of runs to delete. The maximum allowed   value for max_runs is 10000.  :returns: :class:`DeleteRunsResponse`",experiment_runs,delete_bulk,exec,
ml.json,/api/2.0/mlflow/runs/delete-tag,experiments_delete_tag,post,,"ml, experiments","run_id, key",Deletes a tag on a run. Tags are run metadata that can be updated during a run and after a run,Deletes a tag on a run. Tags are run metadata that can be updated during a run and after a run completes.  :param run_id: str   ID of the run that the tag was logged under. Must be provided. :param key: str   Name of the tag. Maximum size is 255 bytes. Must be provided.,experiment_runs,delete_tag,exec,
ml.json,/api/2.0/mlflow/runs/get,experiments_get_run,get,GetRunResponse,"ml, experiments","run_id, run_uuid","Gets the metadata, metrics, params, and tags for a run. In the case where multiple metrics with the","Gets the metadata, metrics, params, and tags for a run. In the case where multiple metrics with the same key are logged for a run, return only the value with the latest timestamp.  If there are multiple values with the latest timestamp, return the maximum of these values.  :param run_id: str   ID of the run to fetch. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run to fetch. This field will be removed in a future   MLflow version.  :returns: :class:`GetRunResponse`",experiment_runs,get,select,
ml.json,/api/2.0/mlflow/runs/log-batch,experiments_log_batch,post,,"ml, experiments","metrics, params, run_id, tags","Logs a batch of metrics, params, and tags for a run. If any data failed to be persisted, the server","Logs a batch of metrics, params, and tags for a run. If any data failed to be persisted, the server will respond with an error (non-200 status code).  In case of error (due to internal server error or an invalid request), partial data may be written.  You can write metrics, params, and tags in interleaving fashion, but within a given entity type are guaranteed to follow the order specified in the request body.  The overwrite behavior for metrics, params, and tags is as follows:  * Metrics: metric values are never overwritten. Logging a metric (key, value, timestamp) appends to the set of values for the metric with the provided key.  * Tags: tag values can be overwritten by successive writes to the same tag key. That is, if multiple tag values with the same key are provided in the same API request, the last-provided tag value is written. Logging the same tag (key, value) is permitted. Specifically, logging a tag is idempotent.  * Parameters: once written, param values cannot be changed (attempting to overwrite a param value will result in an error). However, logging the same param (key, value) is permitted. Specifically, logging a param is idempotent.  Request Limits ------------------------------- A single JSON-serialized API request may be up to 1 MB in size and contain:  * No more than 1000 metrics, params, and tags in total  * Up to 1000 metrics  * Up to 100 params  * Up to 100 tags  For example, a valid request might contain 900 metrics, 50 params, and 50 tags, but logging 900 metrics, 50 params, and 51 tags is invalid.  The following limits also apply to metric, param, and tag keys and values:  * Metric keys, param keys, and tag keys can be up to 250 characters in length  * Parameter and tag values can be up to 250 characters in length  :param metrics: List[:class:`Metric`] (optional)   Metrics to log. A single request can contain up to 1000 metrics, and up to 1000 metrics, params, and   tags in total. :param params: List[:class:`Param`] (optional)   Params to log. A single request can contain up to 100 params, and up to 1000 metrics, params, and   tags in total. :param run_id: str (optional)   ID of the run to log under :param tags: List[:class:`RunTag`] (optional)   Tags to log. A single request can contain up to 100 tags, and up to 1000 metrics, params, and tags   in total.",experiment_runs,log_batch,exec,
ml.json,/api/2.0/mlflow/runs/log-inputs,experiments_log_inputs,post,,"ml, experiments","run_id, datasets, models","Logs inputs, such as datasets and models, to an MLflow Run.","Logs inputs, such as datasets and models, to an MLflow Run.  :param run_id: str   ID of the run to log under :param datasets: List[:class:`DatasetInput`] (optional)   Dataset inputs :param models: List[:class:`ModelInput`] (optional)   Model inputs",experiment_runs,log_inputs,exec,
ml.json,/api/2.0/mlflow/runs/log-metric,experiments_log_metric,post,,"ml, experiments","key, value, timestamp, dataset_digest, dataset_name, model_id, run_id, run_uuid, step","Log a metric for a run. A metric is a key-value pair (string key, float value) with an associated","Log a metric for a run. A metric is a key-value pair (string key, float value) with an associated timestamp. Examples include the various metrics that represent ML model accuracy. A metric can be logged multiple times.  :param key: str   Name of the metric. :param value: float   Double value of the metric being logged. :param timestamp: int   Unix timestamp in milliseconds at the time metric was logged. :param dataset_digest: str (optional)   Dataset digest of the dataset associated with the metric, e.g. an md5 hash of the dataset that   uniquely identifies it within datasets of the same name. :param dataset_name: str (optional)   The name of the dataset associated with the metric. E.g. “my.uc.table@2” “nyc-taxi-dataset”,   “fantastic-elk-3” :param model_id: str (optional)   ID of the logged model associated with the metric, if applicable :param run_id: str (optional)   ID of the run under which to log the metric. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run under which to log the metric. This field will be   removed in a future MLflow version. :param step: int (optional)   Step at which to log the metric",experiment_runs,log_metric,exec,
ml.json,/api/2.0/mlflow/runs/log-model,experiments_log_model,post,,"ml, experiments","model_json, run_id",**Note:** the [Create a logged model](/api/workspace/experiments/createloggedmodel) API replaces this,**Note:** the [Create a logged model](/api/workspace/experiments/createloggedmodel) API replaces this endpoint.  Log a model to an MLflow Run.  :param model_json: str (optional)   MLmodel file in json format. :param run_id: str (optional)   ID of the run to log under,experiment_runs,log_model,exec,
ml.json,/api/2.0/mlflow/runs/outputs,experiments_log_outputs,post,,"ml, experiments","run_id, models","Logs outputs, such as models, from an MLflow Run.","Logs outputs, such as models, from an MLflow Run.  :param run_id: str   The ID of the Run from which to log outputs. :param models: List[:class:`ModelOutput`] (optional)   The model outputs from the Run.",experiment_runs,log_outputs,exec,
ml.json,/api/2.0/mlflow/runs/log-parameter,experiments_log_param,post,,"ml, experiments","key, value, run_id, run_uuid","Logs a param used for a run. A param is a key-value pair (string key, string value). Examples include","Logs a param used for a run. A param is a key-value pair (string key, string value). Examples include hyperparameters used for ML model training and constant dates and values used in an ETL pipeline. A param can be logged only once for a run.  :param key: str   Name of the param. Maximum size is 255 bytes. :param value: str   String value of the param being logged. Maximum size is 500 bytes. :param run_id: str (optional)   ID of the run under which to log the param. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run under which to log the param. This field will be   removed in a future MLflow version.",experiment_runs,log_param,exec,
ml.json,/api/2.0/mlflow/runs/restore,experiments_restore_run,post,,"ml, experiments",run_id,"Restores a deleted run. This also restores associated metadata, runs, metrics, params, and tags.","Restores a deleted run. This also restores associated metadata, runs, metrics, params, and tags.  Throws `RESOURCE_DOES_NOT_EXIST` if the run was never created or was permanently deleted.  :param run_id: str   ID of the run to restore.",experiment_runs,restore,exec,
ml.json,/api/2.0/mlflow/databricks/runs/restore-runs,experiments_restore_runs,post,RestoreRunsResponse,"ml, experiments","experiment_id, min_timestamp_millis, max_runs",Bulk restore runs in an experiment that were deleted no earlier than the specified timestamp. Restores,"Bulk restore runs in an experiment that were deleted no earlier than the specified timestamp. Restores at most max_runs per request. To call this API from a Databricks Notebook in Python, you can use the client code snippet on  :param experiment_id: str   The ID of the experiment containing the runs to restore. :param min_timestamp_millis: int   The minimum deletion timestamp in milliseconds since the UNIX epoch for restoring runs. Only runs   deleted no earlier than this timestamp are restored. :param max_runs: int (optional)   An optional positive integer indicating the maximum number of runs to restore. The maximum allowed   value for max_runs is 10000.  :returns: :class:`RestoreRunsResponse`",experiment_runs,restore_bulk,exec,
ml.json,/api/2.0/mlflow/runs/search,experiments_search_runs,post,Iterator[Run],"ml, experiments","experiment_ids, filter, max_results, order_by, page_token, run_view_type",Searches for runs that satisfy expressions.,"Searches for runs that satisfy expressions.  Search expressions can use `mlflowMetric` and `mlflowParam` keys.  :param experiment_ids: List[str] (optional)   List of experiment IDs to search over. :param filter: str (optional)   A filter expression over params, metrics, and tags, that allows returning a subset of runs. The   syntax is a subset of SQL that supports ANDing together binary operations between a param, metric,   or tag and a constant.    Example: `metrics.rmse < 1 and params.model_class = 'LogisticRegression'`    You can select columns with special characters (hyphen, space, period, etc.) by using double quotes:   `metrics.""model class"" = 'LinearRegression' and tags.""user-name"" = 'Tomas'`    Supported operators are `=`, `!=`, `>`, `>=`, `<`, and `<=`. :param max_results: int (optional)   Maximum number of runs desired. Max threshold is 50000 :param order_by: List[str] (optional)   List of columns to be ordered by, including attributes, params, metrics, and tags with an optional   `""DESC""` or `""ASC""` annotation, where `""ASC""` is the default. Example: `[""params.input DESC"",   ""metrics.alpha ASC"", ""metrics.rmse""]`. Tiebreaks are done by start_time `DESC` followed by `run_id`   for runs with the same start time (and this is the default ordering criterion if order_by is not   provided). :param page_token: str (optional)   Token for the current page of runs. :param run_view_type: :class:`ViewType` (optional)   Whether to display only active, only deleted, or all runs. Defaults to only active runs.  :returns: Iterator over :class:`Run`",experiment_runs,search,exec,
ml.json,/api/2.0/mlflow/runs/set-tag,experiments_set_tag,post,,"ml, experiments","key, value, run_id, run_uuid",Sets a tag on a run. Tags are run metadata that can be updated during a run and after a run completes.,"Sets a tag on a run. Tags are run metadata that can be updated during a run and after a run completes.  :param key: str   Name of the tag. Keys up to 250 bytes in size are supported. :param value: str   String value of the tag being logged. Values up to 64KB in size are supported. :param run_id: str (optional)   ID of the run under which to log the tag. Must be provided. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run under which to log the tag. This field will be   removed in a future MLflow version.",experiment_runs,set_tag,exec,
ml.json,/api/2.0/mlflow/runs/update,experiments_update_run,post,UpdateRunResponse,"ml, experiments","end_time, run_id, run_name, run_uuid, status",Updates run metadata.,"Updates run metadata.  :param end_time: int (optional)   Unix timestamp in milliseconds of when the run ended. :param run_id: str (optional)   ID of the run to update. Must be provided. :param run_name: str (optional)   Updated name of the run. :param run_uuid: str (optional)   [Deprecated, use `run_id` instead] ID of the run to update. This field will be removed in a future   MLflow version. :param status: :class:`UpdateRunStatus` (optional)   Updated status of the run.  :returns: :class:`UpdateRunResponse`",experiment_runs,update,exec,
ml.json,/api/2.0/mlflow/experiments/create,experiments_create_experiment,post,CreateExperimentResponse,"ml, experiments","name, artifact_location, tags",Creates an experiment with a name. Returns the ID of the newly created experiment. Validates that,"Creates an experiment with a name. Returns the ID of the newly created experiment. Validates that another experiment with the same name does not already exist and fails if another experiment with the same name already exists.  Throws `RESOURCE_ALREADY_EXISTS` if an experiment with the given name exists.  :param name: str   Experiment name. :param artifact_location: str (optional)   Location where all artifacts for the experiment are stored. If not provided, the remote server will   select an appropriate default. :param tags: List[:class:`ExperimentTag`] (optional)   A collection of tags to set on the experiment. Maximum tag size and number of tags per request   depends on the storage backend. All storage backends are guaranteed to support tag keys up to 250   bytes in size and tag values up to 5000 bytes in size. All storage backends are also guaranteed to   support up to 20 tags per request.  :returns: :class:`CreateExperimentResponse`",experiments,create,insert,
ml.json,/api/2.0/mlflow/experiments/delete,experiments_delete_experiment,post,,"ml, experiments",experiment_id,"Marks an experiment and associated metadata, runs, metrics, params, and tags for deletion. If the","Marks an experiment and associated metadata, runs, metrics, params, and tags for deletion. If the experiment uses FileStore, artifacts associated with the experiment are also deleted.  :param experiment_id: str   ID of the associated experiment.",experiments,delete,exec,
ml.json,/api/2.0/mlflow/experiments/get-by-name,experiments_get_by_name,get,GetExperimentByNameResponse,"ml, experiments",experiment_name,Gets metadata for an experiment.,"Gets metadata for an experiment.  This endpoint will return deleted experiments, but prefers the active experiment if an active and deleted experiment share the same name. If multiple deleted experiments share the same name, the API will return one of them.  Throws `RESOURCE_DOES_NOT_EXIST` if no experiment with the specified name exists.  :param experiment_name: str   Name of the associated experiment.  :returns: :class:`GetExperimentByNameResponse`",experiments,get_by_name,select,
ml.json,/api/2.0/mlflow/experiments/get,experiments_get_experiment,get,GetExperimentResponse,"ml, experiments",experiment_id,Gets metadata for an experiment. This method works on deleted experiments.,Gets metadata for an experiment. This method works on deleted experiments.  :param experiment_id: str   ID of the associated experiment.  :returns: :class:`GetExperimentResponse`,experiments,get,select,
ml.json,/api/2.0/mlflow/experiments/list,experiments_list_experiments,get,Iterator[Experiment],"ml, experiments","max_results, page_token, view_type",Gets a list of all experiments.,"Gets a list of all experiments.  :param max_results: int (optional)   Maximum number of experiments desired. If `max_results` is unspecified, return all experiments. If   `max_results` is too large, it'll be automatically capped at 1000. Callers of this endpoint are   encouraged to pass max_results explicitly and leverage page_token to iterate through experiments. :param page_token: str (optional)   Token indicating the page of experiments to fetch :param view_type: :class:`ViewType` (optional)   Qualifier for type of experiments to be returned. If unspecified, return only active experiments.  :returns: Iterator over :class:`Experiment`",experiments,list,select,
ml.json,/api/2.0/mlflow/experiments/restore,experiments_restore_experiment,post,,"ml, experiments",experiment_id,"Restore an experiment marked for deletion. This also restores associated metadata, runs, metrics,","Restore an experiment marked for deletion. This also restores associated metadata, runs, metrics, params, and tags. If experiment uses FileStore, underlying artifacts associated with experiment are also restored.  Throws `RESOURCE_DOES_NOT_EXIST` if experiment was never created or was permanently deleted.  :param experiment_id: str   ID of the associated experiment.",experiments,restore,exec,
ml.json,/api/2.0/mlflow/experiments/search,experiments_search_experiments,post,Iterator[Experiment],"ml, experiments","filter, max_results, order_by, page_token, view_type",Searches for experiments that satisfy specified search criteria.,"Searches for experiments that satisfy specified search criteria.  :param filter: str (optional)   String representing a SQL filter condition (e.g. ""name ILIKE 'my-experiment%'"") :param max_results: int (optional)   Maximum number of experiments desired. Max threshold is 3000. :param order_by: List[str] (optional)   List of columns for ordering search results, which can include experiment name and last updated   timestamp with an optional ""DESC"" or ""ASC"" annotation, where ""ASC"" is the default. Tiebreaks are   done by experiment id DESC. :param page_token: str (optional)   Token indicating the page of experiments to fetch :param view_type: :class:`ViewType` (optional)   Qualifier for type of experiments to be returned. If unspecified, return only active experiments.  :returns: Iterator over :class:`Experiment`",experiments,search,exec,
ml.json,/api/2.0/mlflow/experiments/set-experiment-tag,experiments_set_experiment_tag,post,,"ml, experiments","experiment_id, key, value",Sets a tag on an experiment. Experiment tags are metadata that can be updated.,Sets a tag on an experiment. Experiment tags are metadata that can be updated.  :param experiment_id: str   ID of the experiment under which to log the tag. Must be provided. :param key: str   Name of the tag. Keys up to 250 bytes in size are supported. :param value: str   String value of the tag being logged. Values up to 64KB in size are supported.,experiments,set_tag,exec,
ml.json,/api/2.0/mlflow/experiments/update,experiments_update_experiment,post,,"ml, experiments","experiment_id, new_name",Updates experiment metadata.,"Updates experiment metadata.  :param experiment_id: str   ID of the associated experiment. :param new_name: str (optional)   If provided, the experiment's name is changed to the new name. The new name must be unique.",experiments,update,exec,
ml.json,/api/2.0/feature-engineering/features,feature_engineering_create_feature,post,Feature,"ml, feature_engineering",feature,Create a Feature.,Create a Feature.  :param feature: :class:`Feature`   Feature to create.  :returns: :class:`Feature`,feature_engineering,create,insert,
ml.json,/api/2.0/feature-engineering/features,feature_engineering_list_features,get,Iterator[Feature],"ml, feature_engineering","page_size, page_token",List Features.,List Features.  :param page_size: int (optional)   The maximum number of results to return. :param page_token: str (optional)   Pagination token to go to the next page based on a previous query.  :returns: Iterator over :class:`Feature`,feature_engineering,list,select,
ml.json,/api/2.0/feature-engineering/features/{full_name},feature_engineering_delete_feature,delete,,"ml, feature_engineering",full_name,Delete a Feature.,Delete a Feature.  :param full_name: str   Name of the feature to delete.,feature_engineering,delete,delete,
ml.json,/api/2.0/feature-engineering/features/{full_name},feature_engineering_get_feature,get,Feature,"ml, feature_engineering",full_name,Get a Feature.,Get a Feature.  :param full_name: str   Name of the feature to get.  :returns: :class:`Feature`,feature_engineering,get,select,
ml.json,/api/2.0/feature-engineering/features/{full_name},feature_engineering_update_feature,patch,Feature,"ml, feature_engineering","full_name, update_mask, feature",Update a Feature.,"Update a Feature.  :param full_name: str   The full three-part name (catalog, schema, name) of the feature. :param feature: :class:`Feature`   Feature to update. :param update_mask: str   The list of fields to update.  :returns: :class:`Feature`",feature_engineering,update,update,
ml.json,/api/2.0/feature-engineering/features/kafka-configs,feature_engineering_create_kafka_config,post,KafkaConfig,"ml, feature_engineering",kafka_config,"Create a Kafka config. During PrPr, Kafka configs can be read and used when creating features under","Create a Kafka config. During PrPr, Kafka configs can be read and used when creating features under the entire metastore. Only the creator of the Kafka config can delete it.  :param kafka_config: :class:`KafkaConfig`  :returns: :class:`KafkaConfig`",feature_kafka_configs,create,insert,
ml.json,/api/2.0/feature-engineering/features/kafka-configs,feature_engineering_list_kafka_configs,get,Iterator[KafkaConfig],"ml, feature_engineering","page_size, page_token","List Kafka configs. During PrPr, Kafka configs can be read and used when creating features under the","List Kafka configs. During PrPr, Kafka configs can be read and used when creating features under the entire metastore. Only the creator of the Kafka config can delete it.  :param page_size: int (optional)   The maximum number of results to return. :param page_token: str (optional)   Pagination token to go to the next page based on a previous query.  :returns: Iterator over :class:`KafkaConfig`",feature_kafka_configs,list,select,
ml.json,/api/2.0/feature-engineering/features/kafka-configs/{name},feature_engineering_delete_kafka_config,delete,,"ml, feature_engineering",name,"Delete a Kafka config. During PrPr, Kafka configs can be read and used when creating features under","Delete a Kafka config. During PrPr, Kafka configs can be read and used when creating features under the entire metastore. Only the creator of the Kafka config can delete it.  :param name: str   Name of the Kafka config to delete.",feature_kafka_configs,delete,delete,
ml.json,/api/2.0/feature-engineering/features/kafka-configs/{name},feature_engineering_get_kafka_config,get,KafkaConfig,"ml, feature_engineering",name,"Get a Kafka config. During PrPr, Kafka configs can be read and used when creating features under the","Get a Kafka config. During PrPr, Kafka configs can be read and used when creating features under the entire metastore. Only the creator of the Kafka config can delete it.  :param name: str   Name of the Kafka config to get.  :returns: :class:`KafkaConfig`",feature_kafka_configs,get,select,
ml.json,/api/2.0/feature-engineering/features/kafka-configs/{name},feature_engineering_update_kafka_config,patch,KafkaConfig,"ml, feature_engineering","name, update_mask, kafka_config","Update a Kafka config. During PrPr, Kafka configs can be read and used when creating features under","Update a Kafka config. During PrPr, Kafka configs can be read and used when creating features under the entire metastore. Only the creator of the Kafka config can delete it.  :param name: str   Name that uniquely identifies this Kafka config within the metastore. This will be the identifier   used from the Feature object to reference these configs for a feature. Can be distinct from topic   name. :param kafka_config: :class:`KafkaConfig`   The Kafka config to update. :param update_mask: FieldMask   The list of fields to update.  :returns: :class:`KafkaConfig`",feature_kafka_configs,update,update,
