service,operation_id,http_path,http_verb,tags,params,success_response_object,summary,description,stackql_resource_name,stackql_method_name,stackql_verb
postgres,postgres_create_branch,/api/2.0/postgres/{parent}/branches,post,postgres,"parent, branch_id, branch",CreateBranchOperation,Creates a new database branch in the project.,"Creates a new database branch in the project.  :param parent: str   The Project where this Branch will be created. Format: projects/{project_id} :param branch: :class:`Branch`   The Branch to create. :param branch_id: str   The ID to use for the Branch. This becomes the final component of the branch's resource name. The ID   is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `development` becomes   `projects/my-app/branches/development`.  :returns: :class:`Operation`",postgres,postgres_create_branch,INSERT
postgres,postgres_list_branches,/api/2.0/postgres/{parent}/branches,get,postgres,"parent, page_size, page_token",Iterator[Branch],Returns a paginated list of database branches in the project.,"Returns a paginated list of database branches in the project.  :param parent: str   The Project that owns this collection of branches. Format: projects/{project_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Branch`",postgres,postgres_list_branches,SELECT
postgres,postgres_create_endpoint,/api/2.0/postgres/{parent}/endpoints,post,postgres,"parent, endpoint_id, endpoint",CreateEndpointOperation,Creates a new compute endpoint in the branch.,"Creates a new compute endpoint in the branch.  :param parent: str   The Branch where this Endpoint will be created. Format: projects/{project_id}/branches/{branch_id} :param endpoint: :class:`Endpoint`   The Endpoint to create. :param endpoint_id: str   The ID to use for the Endpoint. This becomes the final component of the endpoint's resource name.   The ID is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `primary` becomes   `projects/my-app/branches/development/endpoints/primary`.  :returns: :class:`Operation`",postgres,postgres_create_endpoint,INSERT
postgres,postgres_list_endpoints,/api/2.0/postgres/{parent}/endpoints,get,postgres,"parent, page_size, page_token",Iterator[Endpoint],Returns a paginated list of compute endpoints in the branch.,"Returns a paginated list of compute endpoints in the branch.  :param parent: str   The Branch that owns this collection of endpoints. Format:   projects/{project_id}/branches/{branch_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Endpoint`",postgres,postgres_list_endpoints,SELECT
postgres,postgres_create_project,/api/2.0/postgres/projects,post,postgres,"project_id, project",CreateProjectOperation,"Creates a new Lakebase Autoscaling Postgres database project, which contains branches and compute","Creates a new Lakebase Autoscaling Postgres database project, which contains branches and compute endpoints.  :param project: :class:`Project`   The Project to create. :param project_id: str   The ID to use for the Project. This becomes the final component of the project's resource name. The   ID is required and must be 1-63 characters long, start with a lowercase letter, and contain only   lowercase letters, numbers, and hyphens. For example, `my-app` becomes `projects/my-app`.  :returns: :class:`Operation`",postgres,postgres_create_project,INSERT
postgres,postgres_list_projects,/api/2.0/postgres/projects,get,postgres,"page_size, page_token",Iterator[Project],Returns a paginated list of database projects in the workspace that the user has permission to access.,"Returns a paginated list of database projects in the workspace that the user has permission to access.  :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Project`",postgres,postgres_list_projects,SELECT
postgres,postgres_create_role,/api/2.0/postgres/{parent}/roles,post,postgres,"parent, role_id, role",CreateRoleOperation,Creates a new Postgres role in the branch.,"Creates a new Postgres role in the branch.  :param parent: str   The Branch where this Role is created. Format: projects/{project_id}/branches/{branch_id} :param role: :class:`Role`   The desired specification of a Role. :param role_id: str (optional)   The ID to use for the Role, which will become the final component of the role's resource name. This   ID becomes the role in Postgres.    This value should be 4-63 characters, and valid characters are lowercase letters, numbers, and   hyphens, as defined by RFC 1123.    If role_id is not specified in the request, it is generated automatically.  :returns: :class:`Operation`",postgres,postgres_create_role,INSERT
postgres,postgres_list_roles,/api/2.0/postgres/{parent}/roles,get,postgres,"parent, page_size, page_token",Iterator[Role],Returns a paginated list of Postgres roles in the branch.,"Returns a paginated list of Postgres roles in the branch.  :param parent: str   The Branch that owns this collection of roles. Format: projects/{project_id}/branches/{branch_id} :param page_size: int (optional)   Upper bound for items returned. Cannot be negative. :param page_token: str (optional)   Page token from a previous response. If not provided, returns the first page.  :returns: Iterator over :class:`Role`",postgres,postgres_list_roles,SELECT
postgres,postgres_delete_role,/api/2.0/postgres/{name},delete,postgres,"name, reassign_owned_to",DeleteRoleOperation,Deletes the specified Postgres role.,"Deletes the specified Postgres role.  :param name: str   The full resource path of the role to delete. Format:   projects/{project_id}/branches/{branch_id}/roles/{role_id} :param reassign_owned_to: str (optional)   Reassign objects. If this is set, all objects owned by the role are reassigned to the role specified   in this parameter.    NOTE: setting this requires spinning up a compute to succeed, since it involves running SQL queries.    TODO: #LKB-7187 implement reassign_owned_to on LBM side. This might end-up being a synchronous query   when this parameter is used.  :returns: :class:`Operation`",postgres,postgres_delete_role,DELETE
postgres,postgres_get_role,/api/2.0/postgres/{name},get,postgres,name,Role,"Retrieves information about the specified Postgres role, including its authentication method and","Retrieves information about the specified Postgres role, including its authentication method and permissions.  :param name: str   The full resource path of the role to retrieve. Format:   projects/{project_id}/branches/{branch_id}/roles/{role_id}  :returns: :class:`Role`",postgres,postgres_get_role,SELECT
postgres,postgres_update_project,/api/2.0/postgres/{name},patch,postgres,"name, update_mask, project",UpdateProjectOperation,Updates the specified database project.,"Updates the specified database project.  :param name: str   Output only. The full resource path of the project. Format: projects/{project_id} :param project: :class:`Project`   The Project to update.    The project's `name` field is used to identify the project to update. Format: projects/{project_id} :param update_mask: FieldMask   The list of fields to update. If unspecified, all fields will be updated when possible.  :returns: :class:`Operation`",postgres,postgres_update_project,UPDATE
postgres,postgres_generate_database_credential,/api/2.0/postgres/credentials,post,postgres,"endpoint, claims",DatabaseCredential,Generate OAuth credentials for a Postgres database.,Generate OAuth credentials for a Postgres database.  :param endpoint: str   This field is not yet supported. The endpoint for which this credential will be generated. Format:   projects/{project_id}/branches/{branch_id}/endpoints/{endpoint_id} :param claims: List[:class:`RequestedClaims`] (optional)   The returned token will be scoped to UC tables with the specified permissions.  :returns: :class:`DatabaseCredential`,postgres,postgres_generate_database_credential,INSERT
