filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
serving.json,/api/2.0/serving-endpoints/{name}/served-models/{served_model_name}/build-logs,serving_endpoints_build_logs,get,BuildLogsResponse,"serving, serving_endpoints","name, served_model_name",Retrieves the build logs associated with the provided served model.,Retrieves the build logs associated with the provided served model.  :param name: str   The name of the serving endpoint that the served model belongs to. This field is required. :param served_model_name: str   The name of the served model that build logs will be retrieved for. This field is required.  :returns: :class:`BuildLogsResponse`,serving_endpoint_build_logs,get,select,
serving.json,/api/2.0/serving-endpoints,serving_endpoints_create,post,Wait[ServingEndpointDetailed],"serving, serving_endpoints","name, ai_gateway, budget_policy_id, config, description, email_notifications, rate_limits, route_optimized, tags",Create a new serving endpoint.,"Create a new serving endpoint.  :param name: str   The name of the serving endpoint. This field is required and must be unique across a Databricks   workspace. An endpoint name can consist of alphanumeric characters, dashes, and underscores. :param ai_gateway: :class:`AiGatewayConfig` (optional)   The AI Gateway configuration for the serving endpoint. NOTE: External model, provisioned throughput,   and pay-per-token endpoints are fully supported; agent endpoints currently only support inference   tables. :param budget_policy_id: str (optional)   The budget policy to be applied to the serving endpoint. :param config: :class:`EndpointCoreConfigInput` (optional)   The core config of the serving endpoint. :param description: str (optional) :param email_notifications: :class:`EmailNotifications` (optional)   Email notification settings. :param rate_limits: List[:class:`RateLimit`] (optional)   Rate limits to be applied to the serving endpoint. NOTE: this field is deprecated, please use AI   Gateway to manage rate limits. :param route_optimized: bool (optional)   Enable route optimization for the serving endpoint. :param tags: List[:class:`EndpointTag`] (optional)   Tags to be attached to the serving endpoint and automatically propagated to billing logs.  :returns:   Long-running operation waiter for :class:`ServingEndpointDetailed`.   See :method:wait_get_serving_endpoint_not_updating for more details.",serving_endpoints,create,insert,
serving.json,/api/2.0/serving-endpoints,serving_endpoints_list,get,Iterator[ServingEndpoint],"serving, serving_endpoints",,Get all serving endpoints.,Get all serving endpoints.   :returns: Iterator over :class:`ServingEndpoint`,serving_endpoints,list,select,$.endpoints
serving.json,/api/2.0/serving-endpoints/pt,serving_endpoints_create_provisioned_throughput_endpoint,post,Wait[ServingEndpointDetailed],"serving, serving_endpoints","name, config, ai_gateway, budget_policy_id, email_notifications, tags",Create a new PT serving endpoint.,"Create a new PT serving endpoint.  :param name: str   The name of the serving endpoint. This field is required and must be unique across a Databricks   workspace. An endpoint name can consist of alphanumeric characters, dashes, and underscores. :param config: :class:`PtEndpointCoreConfig`   The core config of the serving endpoint. :param ai_gateway: :class:`AiGatewayConfig` (optional)   The AI Gateway configuration for the serving endpoint. :param budget_policy_id: str (optional)   The budget policy associated with the endpoint. :param email_notifications: :class:`EmailNotifications` (optional)   Email notification settings. :param tags: List[:class:`EndpointTag`] (optional)   Tags to be attached to the serving endpoint and automatically propagated to billing logs.  :returns:   Long-running operation waiter for :class:`ServingEndpointDetailed`.   See :method:wait_get_serving_endpoint_not_updating for more details.",serving_endpoints_pt,create,insert,
serving.json,/api/2.0/serving-endpoints/{name},serving_endpoints_delete,delete,,"serving, serving_endpoints",name,Delete a serving endpoint.,Delete a serving endpoint.  :param name: str,serving_endpoints,delete,delete,
serving.json,/api/2.0/serving-endpoints/{name},serving_endpoints_get,get,ServingEndpointDetailed,"serving, serving_endpoints",name,Retrieves the details for a single serving endpoint.,Retrieves the details for a single serving endpoint.  :param name: str   The name of the serving endpoint. This field is required.  :returns: :class:`ServingEndpointDetailed`,serving_endpoints,get,select,
serving.json,/api/2.0/serving-endpoints/{name}/metrics,serving_endpoints_export_metrics,get,ExportMetricsResponse,"serving, serving_endpoints",name,Retrieves the metrics associated with the provided serving endpoint in either Prometheus or,Retrieves the metrics associated with the provided serving endpoint in either Prometheus or OpenMetrics exposition format.  :param name: str   The name of the serving endpoint to retrieve metrics for. This field is required.  :returns: :class:`ExportMetricsResponse`,serving_endpoint_metrics,get,select,
serving.json,/api/2.0/serving-endpoints/{name}/openapi,serving_endpoints_get_open_api,get,GetOpenApiResponse,"serving, serving_endpoints",name,Get the query schema of the serving endpoint in OpenAPI format. The schema contains information for,"Get the query schema of the serving endpoint in OpenAPI format. The schema contains information for the supported paths, input and output format and datatypes.  :param name: str   The name of the serving endpoint that the served model belongs to. This field is required.  :returns: :class:`GetOpenApiResponse`",serving_endpoint_openapi,get,select,
serving.json,/api/2.0/permissions/serving-endpoints/{serving_endpoint_id}/permissionLevels,serving_endpoints_get_permission_levels,get,GetServingEndpointPermissionLevelsResponse,"serving, serving_endpoints",serving_endpoint_id,Gets the permission levels that a user can have on an object.,Gets the permission levels that a user can have on an object.  :param serving_endpoint_id: str   The serving endpoint for which to get or manage permissions.  :returns: :class:`GetServingEndpointPermissionLevelsResponse`,serving_endpoint_permission_levels,get,select,
serving.json,/api/2.0/permissions/serving-endpoints/{serving_endpoint_id},serving_endpoints_get_permissions,get,ServingEndpointPermissions,"serving, serving_endpoints",serving_endpoint_id,Gets the permissions of a serving endpoint. Serving endpoints can inherit permissions from their root,Gets the permissions of a serving endpoint. Serving endpoints can inherit permissions from their root object.  :param serving_endpoint_id: str   The serving endpoint for which to get or manage permissions.  :returns: :class:`ServingEndpointPermissions`,serving_endpoint_permissions,get,select,
