filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_acc_policy/names/default,aibi_dashboard_embedding_access_policy_delete,delete,DeleteAibiDashboardEmbeddingAccessPolicySettingResponse,"settings, aibi_dashboard_embedding_access_policy",etag,"Delete the AI/BI dashboard embedding access policy, reverting back to the default.","Delete the AI/BI dashboard embedding access policy, reverting back to the default.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`DeleteAibiDashboardEmbeddingAccessPolicySettingResponse`",aibi_dashboard_embedding_access_policy,delete,delete,
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_acc_policy/names/default,aibi_dashboard_embedding_access_policy_get,get,AibiDashboardEmbeddingAccessPolicySetting,"settings, aibi_dashboard_embedding_access_policy",etag,"Retrieves the AI/BI dashboard embedding access policy. The default setting is ALLOW_APPROVED_DOMAINS,","Retrieves the AI/BI dashboard embedding access policy. The default setting is ALLOW_APPROVED_DOMAINS, permitting AI/BI dashboards to be embedded on approved domains.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`AibiDashboardEmbeddingAccessPolicySetting`",aibi_dashboard_embedding_access_policy,get,select,
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_acc_policy/names/default,aibi_dashboard_embedding_access_policy_update,patch,AibiDashboardEmbeddingAccessPolicySetting,"settings, aibi_dashboard_embedding_access_policy","allow_missing, setting, field_mask",Updates the AI/BI dashboard embedding access policy at the workspace level.,"Updates the AI/BI dashboard embedding access policy at the workspace level.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`AibiDashboardEmbeddingAccessPolicySetting` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`AibiDashboardEmbeddingAccessPolicySetting`",aibi_dashboard_embedding_access_policy,update,update,
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_apprvd_domains/names/default,aibi_dashboard_embedding_approved_domains_delete,delete,DeleteAibiDashboardEmbeddingApprovedDomainsSettingResponse,"settings, aibi_dashboard_embedding_approved_domains",etag,"Delete the list of domains approved to host embedded AI/BI dashboards, reverting back to the default","Delete the list of domains approved to host embedded AI/BI dashboards, reverting back to the default empty list.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`DeleteAibiDashboardEmbeddingApprovedDomainsSettingResponse`",aibi_dashboard_embedding_approved_domains,delete,delete,
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_apprvd_domains/names/default,aibi_dashboard_embedding_approved_domains_get,get,AibiDashboardEmbeddingApprovedDomainsSetting,"settings, aibi_dashboard_embedding_approved_domains",etag,Retrieves the list of domains approved to host embedded AI/BI dashboards.,"Retrieves the list of domains approved to host embedded AI/BI dashboards.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`AibiDashboardEmbeddingApprovedDomainsSetting`",aibi_dashboard_embedding_approved_domains,get,select,
settings.json,/api/2.0/settings/types/aibi_dash_embed_ws_apprvd_domains/names/default,aibi_dashboard_embedding_approved_domains_update,patch,AibiDashboardEmbeddingApprovedDomainsSetting,"settings, aibi_dashboard_embedding_approved_domains","allow_missing, setting, field_mask",Updates the list of domains approved to host embedded AI/BI dashboards. This update will fail if the,"Updates the list of domains approved to host embedded AI/BI dashboards. This update will fail if the current workspace access policy is not ALLOW_APPROVED_DOMAINS.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`AibiDashboardEmbeddingApprovedDomainsSetting` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`AibiDashboardEmbeddingApprovedDomainsSetting`",aibi_dashboard_embedding_approved_domains,update,update,
settings.json,/api/2.0/settings/types/automatic_cluster_update/names/default,automatic_cluster_update_get,get,AutomaticClusterUpdateSetting,"settings, automatic_cluster_update",etag,Gets the automatic cluster update setting.,"Gets the automatic cluster update setting.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`AutomaticClusterUpdateSetting`",automatic_cluster_update,get,select,
settings.json,/api/2.0/settings/types/automatic_cluster_update/names/default,automatic_cluster_update_update,patch,AutomaticClusterUpdateSetting,"settings, automatic_cluster_update","allow_missing, setting, field_mask",Updates the automatic cluster update setting for the workspace. A fresh etag needs to be provided in,"Updates the automatic cluster update setting for the workspace. A fresh etag needs to be provided in `PATCH` requests (as part of the setting field). The etag can be retrieved by making a `GET` request before the `PATCH` request. If the setting is updated concurrently, `PATCH` fails with 409 and the request must be retried by using the fresh etag in the 409 response.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`AutomaticClusterUpdateSetting` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`AutomaticClusterUpdateSetting`",automatic_cluster_update,update,update,
settings.json,/api/2.0/settings/types/shield_csp_enablement_ws_db/names/default,compliance_security_profile_get,get,ComplianceSecurityProfileSetting,"settings, compliance_security_profile",etag,Gets the compliance security profile setting.,"Gets the compliance security profile setting.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`ComplianceSecurityProfileSetting`",compliance_security_profile,get,select,
settings.json,/api/2.0/settings/types/shield_csp_enablement_ws_db/names/default,compliance_security_profile_update,patch,ComplianceSecurityProfileSetting,"settings, compliance_security_profile","allow_missing, setting, field_mask",Updates the compliance security profile setting for the workspace. A fresh etag needs to be provided,"Updates the compliance security profile setting for the workspace. A fresh etag needs to be provided in `PATCH` requests (as part of the setting field). The etag can be retrieved by making a `GET` request before the `PATCH` request. If the setting is updated concurrently, `PATCH` fails with 409 and the request must be retried by using the fresh etag in the 409 response.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`ComplianceSecurityProfileSetting` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`ComplianceSecurityProfileSetting`",compliance_security_profile,update,update,
settings.json,/api/2.0/credentials-manager/exchange-tokens/token,credentials_manager_exchange_token,post,ExchangeTokenResponse,"settings, credentials_manager","partition_id, token_type, scopes",Exchange tokens with an Identity Provider to get a new access token. It allows specifying scopes to,Exchange tokens with an Identity Provider to get a new access token. It allows specifying scopes to determine token permissions.  :param partition_id: :class:`PartitionId`   The partition of Credentials store :param token_type: List[:class:`TokenType`]   A list of token types being requested :param scopes: List[str]   Array of scopes for the token request.  :returns: :class:`ExchangeTokenResponse`,credentials_manager,exchange_token,insert,
settings.json,/api/2.0/accounts/{account_id}/settings/types/shield_csp_enablement_ac/names/default,csp_enablement_account_get,get,CspEnablementAccountSetting,"settings, csp_enablement_account",etag,Gets the compliance security profile setting for new workspaces.,"Gets the compliance security profile setting for new workspaces.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`CspEnablementAccountSetting`",csp_enablement_account,get,select,
settings.json,/api/2.0/accounts/{account_id}/settings/types/shield_csp_enablement_ac/names/default,csp_enablement_account_update,patch,CspEnablementAccountSetting,"settings, csp_enablement_account","allow_missing, setting, field_mask",Updates the value of the compliance security profile setting for new workspaces.,"Updates the value of the compliance security profile setting for new workspaces.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`CspEnablementAccountSetting` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`CspEnablementAccountSetting`",csp_enablement_account,update,update,
settings.json,/api/2.0/settings/types/dashboard_email_subscriptions/names/default,dashboard_email_subscriptions_delete,delete,DeleteDashboardEmailSubscriptionsResponse,"settings, dashboard_email_subscriptions",etag,Reverts the Dashboard Email Subscriptions setting to its default value.,"Reverts the Dashboard Email Subscriptions setting to its default value.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`DeleteDashboardEmailSubscriptionsResponse`",dashboard_email_subscriptions,delete,delete,
settings.json,/api/2.0/settings/types/dashboard_email_subscriptions/names/default,dashboard_email_subscriptions_get,get,DashboardEmailSubscriptions,"settings, dashboard_email_subscriptions",etag,Gets the Dashboard Email Subscriptions setting.,"Gets the Dashboard Email Subscriptions setting.  :param etag: str (optional)   etag used for versioning. The response is at least as fresh as the eTag provided. This is used for   optimistic concurrency control as a way to help prevent simultaneous writes of a setting overwriting   each other. It is strongly suggested that systems make use of the etag in the read -> delete pattern   to perform setting deletions in order to avoid race conditions. That is, get an etag from a GET   request, and pass it with the DELETE request to identify the rule set version you are deleting.  :returns: :class:`DashboardEmailSubscriptions`",dashboard_email_subscriptions,get,select,
settings.json,/api/2.0/settings/types/dashboard_email_subscriptions/names/default,dashboard_email_subscriptions_update,patch,DashboardEmailSubscriptions,"settings, dashboard_email_subscriptions","allow_missing, setting, field_mask",Updates the Dashboard Email Subscriptions setting.,"Updates the Dashboard Email Subscriptions setting.  :param allow_missing: bool   This should always be set to true for Settings API. Added for AIP compliance. :param setting: :class:`DashboardEmailSubscriptions` :param field_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`DashboardEmailSubscriptions`",dashboard_email_subscriptions,update,update,
