service,operation_id,http_path,http_verb,tags,params,success_response_object,summary,description,stackql_resource_name,stackql_method_name,stackql_verb
sharing,providers_create,/api/2.1/unity-catalog/providers,post,"sharing, providers","name, authentication_type, comment, recipient_profile_str",ProviderInfo,Creates a new authentication provider minimally based on a name and authentication type. The caller,"Creates a new authentication provider minimally based on a name and authentication type. The caller must be an admin on the metastore.  :param name: str   The name of the Provider. :param authentication_type: :class:`AuthenticationType` :param comment: str (optional)   Description about the provider. :param recipient_profile_str: str (optional)   This field is required when the __authentication_type__ is **TOKEN**, **OAUTH_CLIENT_CREDENTIALS**   or not provided.  :returns: :class:`ProviderInfo`",providers,providers_create,INSERT
sharing,providers_list,/api/2.1/unity-catalog/providers,get,"sharing, providers","data_provider_global_metastore_id, max_results, page_token",Iterator[ProviderInfo],"Gets an array of available authentication providers. The caller must either be a metastore admin, have","Gets an array of available authentication providers. The caller must either be a metastore admin, have the **USE_PROVIDER** privilege on the providers, or be the owner of the providers. Providers not owned by the caller and for which the caller does not have the **USE_PROVIDER** privilege are not included in the response. There is no guarantee of a specific ordering of the elements in the array.  :param data_provider_global_metastore_id: str (optional)   If not provided, all providers will be returned. If no providers exist with this ID, no results will   be returned. :param max_results: int (optional)   Maximum number of providers to return. - when set to 0, the page length is set to a server   configured value (recommended); - when set to a value greater than 0, the page length is the minimum   of this value and a server configured value; - when set to a value less than 0, an invalid parameter   error is returned; - If not set, all valid providers are returned (not recommended). - Note: The   number of returned providers might be less than the specified max_results size, even zero. The only   definitive indication that no further providers can be fetched is when the next_page_token is unset   from the response. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`ProviderInfo`",providers,providers_list,SELECT
sharing,providers_delete,/api/2.1/unity-catalog/providers/{name},delete,"sharing, providers",name,,"Deletes an authentication provider, if the caller is a metastore admin or is the owner of the","Deletes an authentication provider, if the caller is a metastore admin or is the owner of the provider.  :param name: str   Name of the provider.",providers,providers_delete,DELETE
sharing,providers_get,/api/2.1/unity-catalog/providers/{name},get,"sharing, providers",name,ProviderInfo,"Gets a specific authentication provider. The caller must supply the name of the provider, and must","Gets a specific authentication provider. The caller must supply the name of the provider, and must either be a metastore admin or the owner of the provider.  :param name: str   Name of the provider.  :returns: :class:`ProviderInfo`",providers,providers_get,SELECT
sharing,providers_update,/api/2.1/unity-catalog/providers/{name},patch,"sharing, providers","name, comment, new_name, owner, recipient_profile_str",ProviderInfo,"Updates the information for an authentication provider, if the caller is a metastore admin or is the","Updates the information for an authentication provider, if the caller is a metastore admin or is the owner of the provider. If the update changes the provider name, the caller must be both a metastore admin and the owner of the provider.  :param name: str   Name of the provider. :param comment: str (optional)   Description about the provider. :param new_name: str (optional)   New name for the provider. :param owner: str (optional)   Username of Provider owner. :param recipient_profile_str: str (optional)   This field is required when the __authentication_type__ is **TOKEN**, **OAUTH_CLIENT_CREDENTIALS**   or not provided.  :returns: :class:`ProviderInfo`",providers,providers_update,UPDATE
sharing,providers_list_provider_share_assets,/api/2.1/data-sharing/providers/{provider_name}/shares/{share_name},get,"sharing, providers","provider_name, share_name, function_max_results, notebook_max_results, table_max_results, volume_max_results",ListProviderShareAssetsResponse,Get arrays of assets associated with a specified provider's share. The caller is the recipient of the,Get arrays of assets associated with a specified provider's share. The caller is the recipient of the share.  :param provider_name: str   The name of the provider who owns the share. :param share_name: str   The name of the share. :param function_max_results: int (optional)   Maximum number of functions to return. :param notebook_max_results: int (optional)   Maximum number of notebooks to return. :param table_max_results: int (optional)   Maximum number of tables to return. :param volume_max_results: int (optional)   Maximum number of volumes to return.  :returns: :class:`ListProviderShareAssetsResponse`,providers,providers_list_provider_share_assets,SELECT
sharing,providers_list_shares,/api/2.1/unity-catalog/providers/{name}/shares,get,"sharing, providers","name, max_results, page_token",Iterator[ProviderShare],Gets an array of a specified provider's shares within the metastore where:,"Gets an array of a specified provider's shares within the metastore where:  * the caller is a metastore admin, or * the caller is the owner.  :param name: str   Name of the provider in which to list shares. :param max_results: int (optional)   Maximum number of shares to return. - when set to 0, the page length is set to a server configured   value (recommended); - when set to a value greater than 0, the page length is the minimum of this   value and a server configured value; - when set to a value less than 0, an invalid parameter error   is returned; - If not set, all valid shares are returned (not recommended). - Note: The number of   returned shares might be less than the specified max_results size, even zero. The only definitive   indication that no further shares can be fetched is when the next_page_token is unset from the   response. :param page_token: str (optional)   Opaque pagination token to go to next page based on previous query.  :returns: Iterator over :class:`ProviderShare`",providers,providers_list_shares,SELECT
sharing,recipient_activation_get_activation_url_info,/api/2.1/unity-catalog/public/data_sharing_activation_info/{activation_url},get,"sharing, recipient_activation",activation_url,,Gets an activation URL for a share.,Gets an activation URL for a share.  :param activation_url: str   The one time activation url. It also accepts activation token.,recipient_activation,recipient_activation_get_activation_url_info,SELECT
sharing,recipient_activation_retrieve_token,/api/2.1/unity-catalog/public/data_sharing_activation/{activation_url},get,"sharing, recipient_activation",activation_url,RetrieveTokenResponse,Retrieve access token with an activation url. This is a public API without any authentication.,Retrieve access token with an activation url. This is a public API without any authentication.  :param activation_url: str   The one time activation url. It also accepts activation token.  :returns: :class:`RetrieveTokenResponse`,recipient_activation,recipient_activation_retrieve_token,SELECT
sharing,recipient_federation_policies_create,/api/2.0/data-sharing/recipients/{recipient_name}/federation-policies,post,"sharing, recipient_federation_policies","recipient_name, policy",FederationPolicy,Create a federation policy for an OIDC_FEDERATION recipient for sharing data from Databricks to,"Create a federation policy for an OIDC_FEDERATION recipient for sharing data from Databricks to non-Databricks recipients. The caller must be the owner of the recipient. When sharing data from Databricks to non-Databricks clients, you can define a federation policy to authenticate non-Databricks recipients. The federation policy validates OIDC claims in federated tokens and is defined at the recipient level. This enables secretless sharing clients to authenticate using OIDC tokens.  Supported scenarios for federation policies: 1. **User-to-Machine (U2M) flow** (e.g., PowerBI): A user accesses a resource using their own identity. 2. **Machine-to-Machine (M2M) flow** (e.g., OAuth App): An OAuth App accesses a resource using its own identity, typically for tasks like running nightly jobs.  For an overview, refer to: - Blog post: Overview of feature: https://www.databricks.com/blog/announcing-oidc-token-federation-enhanced-delta-sharing-security  For detailed configuration guides based on your use case: - Creating a Federation Policy as a provider: https://docs.databricks.com/en/delta-sharing/create-recipient-oidc-fed - Configuration and usage for Machine-to-Machine (M2M) applications (e.g., Python Delta Sharing Client): https://docs.databricks.com/aws/en/delta-sharing/sharing-over-oidc-m2m - Configuration and usage for User-to-Machine (U2M) applications (e.g., PowerBI): https://docs.databricks.com/aws/en/delta-sharing/sharing-over-oidc-u2m  :param recipient_name: str   Name of the recipient. This is the name of the recipient for which the policy is being created. :param policy: :class:`FederationPolicy`   Name of the policy. This is the name of the policy to be created.  :returns: :class:`FederationPolicy`",recipient_federation_policies,recipient_federation_policies_create,INSERT
