filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
sql.json,/api/2.0/sql/alerts,alerts_create,post,Alert,"sql, alerts","alert, auto_resolve_display_name",Creates an alert.,"Creates an alert.  :param alert: :class:`CreateAlertRequestAlert` (optional) :param auto_resolve_display_name: bool (optional)   If true, automatically resolve alert display name conflicts. Otherwise, fail the request if the   alert's display name conflicts with an existing alert's display name.  :returns: :class:`Alert`",alerts,create,insert,
sql.json,/api/2.0/sql/alerts,alerts_list,get,Iterator[ListAlertsResponseAlert],"sql, alerts","page_size, page_token","Gets a list of alerts accessible to the user, ordered by creation time. **Warning:** Calling this API","Gets a list of alerts accessible to the user, ordered by creation time. **Warning:** Calling this API concurrently 10 or more times could result in throttling, service degradation, or a temporary ban.  :param page_size: int (optional) :param page_token: str (optional)  :returns: Iterator over :class:`ListAlertsResponseAlert`",alerts,list,select,
sql.json,/api/2.0/sql/alerts/{id},alerts_delete,delete,,"sql, alerts",id,"Moves an alert to the trash. Trashed alerts immediately disappear from searches and list views, and","Moves an alert to the trash. Trashed alerts immediately disappear from searches and list views, and can no longer trigger. You can restore a trashed alert through the UI. A trashed alert is permanently deleted after 30 days.  :param id: str",alerts,delete,delete,
sql.json,/api/2.0/sql/alerts/{id},alerts_get,get,Alert,"sql, alerts",id,Gets an alert.,Gets an alert.  :param id: str  :returns: :class:`Alert`,alerts,get,select,
sql.json,/api/2.0/sql/alerts/{id},alerts_update,patch,Alert,"sql, alerts","id, update_mask, alert, auto_resolve_display_name",Updates an alert.,"Updates an alert.  :param id: str :param update_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future. :param alert: :class:`UpdateAlertRequestAlert` (optional) :param auto_resolve_display_name: bool (optional)   If true, automatically resolve alert display name conflicts. Otherwise, fail the request if the   alert's display name conflicts with an existing alert's display name.  :returns: :class:`Alert`",alerts,update,update,
sql.json,/api/2.0/preview/sql/alerts,alerts_legacy_create,post,LegacyAlert,"sql, alerts_legacy","name, options, query_id, parent, rearm","Creates an alert. An alert is a Databricks SQL object that periodically runs a query, evaluates a","Creates an alert. An alert is a Databricks SQL object that periodically runs a query, evaluates a condition of its result, and notifies users or notification destinations if the condition was met.  **Warning**: This API is deprecated. Please use :method:alerts/create instead. [Learn more]  [Learn more]: https://docs.databricks.com/en/sql/dbsql-api-latest.html  :param name: str   Name of the alert. :param options: :class:`AlertOptions`   Alert configuration options. :param query_id: str   Query ID. :param parent: str (optional)   The identifier of the workspace folder containing the object. :param rearm: int (optional)   Number of seconds after being triggered before the alert rearms itself and can be triggered again.   If `null`, alert will never be triggered again.  :returns: :class:`LegacyAlert`",alerts_legacy,create,insert,
sql.json,/api/2.0/preview/sql/alerts,alerts_legacy_list,get,Iterator[LegacyAlert],"sql, alerts_legacy",,Gets a list of alerts.,Gets a list of alerts.  **Warning**: This API is deprecated. Please use :method:alerts/list instead. [Learn more]  [Learn more]: https://docs.databricks.com/en/sql/dbsql-api-latest.html   :returns: Iterator over :class:`LegacyAlert`,alerts_legacy,list,select,
sql.json,/api/2.0/preview/sql/alerts/{alert_id},alerts_legacy_delete,delete,,"sql, alerts_legacy",alert_id,Deletes an alert. Deleted alerts are no longer accessible and cannot be restored. **Note**: Unlike,"Deletes an alert. Deleted alerts are no longer accessible and cannot be restored. **Note**: Unlike queries and dashboards, alerts cannot be moved to the trash.  **Warning**: This API is deprecated. Please use :method:alerts/delete instead. [Learn more]  [Learn more]: https://docs.databricks.com/en/sql/dbsql-api-latest.html  :param alert_id: str",alerts_legacy,delete,delete,
sql.json,/api/2.0/preview/sql/alerts/{alert_id},alerts_legacy_get,get,LegacyAlert,"sql, alerts_legacy",alert_id,Gets an alert.,Gets an alert.  **Warning**: This API is deprecated. Please use :method:alerts/get instead. [Learn more]  [Learn more]: https://docs.databricks.com/en/sql/dbsql-api-latest.html  :param alert_id: str  :returns: :class:`LegacyAlert`,alerts_legacy,get,select,
sql.json,/api/2.0/preview/sql/alerts/{alert_id},alerts_legacy_update,put,,"sql, alerts_legacy","alert_id, name, options, query_id, rearm",Updates an alert.,"Updates an alert.  **Warning**: This API is deprecated. Please use :method:alerts/update instead. [Learn more]  [Learn more]: https://docs.databricks.com/en/sql/dbsql-api-latest.html  :param alert_id: str :param name: str   Name of the alert. :param options: :class:`AlertOptions`   Alert configuration options. :param query_id: str   Query ID. :param rearm: int (optional)   Number of seconds after being triggered before the alert rearms itself and can be triggered again.   If `null`, alert will never be triggered again.",alerts_legacy,update,replace,
sql.json,/api/2.0/alerts,alerts_v2_create_alert,post,AlertV2,"sql, alerts_v2",alert,Create Alert,Create Alert  :param alert: :class:`AlertV2`  :returns: :class:`AlertV2`,alerts_v2,create,insert,
