filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
tags.json,/api/2.1/tag-policies,tag_policies_create_tag_policy,post,TagPolicy,"tags, tag_policies",tag_policy,"Creates a new tag policy, making the associated tag key governed. For Terraform usage, see the [Tag","Creates a new tag policy, making the associated tag key governed. For Terraform usage, see the [Tag Policy Terraform documentation]. To manage permissions for tag policies, use the [Account Access Control Proxy API].  [Account Access Control Proxy API]: https://docs.databricks.com/api/workspace/accountaccesscontrolproxy [Tag Policy Terraform documentation]: https://registry.terraform.io/providers/databricks/databricks/latest/docs/resources/tag_policy  :param tag_policy: :class:`TagPolicy`  :returns: :class:`TagPolicy`",tag_policies,tag_policies_create_tag_policy,insert,
tags.json,/api/2.1/tag-policies,tag_policies_list_tag_policies,get,Iterator[TagPolicy],"tags, tag_policies","page_size, page_token","Lists the tag policies for all governed tags in the account. For Terraform usage, see the [Tag Policy","Lists the tag policies for all governed tags in the account. For Terraform usage, see the [Tag Policy Terraform documentation]. To list granted permissions for tag policies, use the [Account Access Control Proxy API].  [Account Access Control Proxy API]: https://docs.databricks.com/api/workspace/accountaccesscontrolproxy [Tag Policy Terraform documentation]: https://registry.terraform.io/providers/databricks/databricks/latest/docs/data-sources/tag_policies  :param page_size: int (optional)   The maximum number of results to return in this request. Fewer results may be returned than   requested. If unspecified or set to 0, this defaults to 1000. The maximum value is 1000; values   above 1000 will be coerced down to 1000. :param page_token: str (optional)   An optional page token received from a previous list tag policies call.  :returns: Iterator over :class:`TagPolicy`",tag_policies,tag_policies_list_tag_policies,select,
tags.json,/api/2.1/tag-policies/{tag_key},tag_policies_delete_tag_policy,delete,,"tags, tag_policies",tag_key,"Deletes a tag policy by its associated governed tag's key, leaving that tag key ungoverned. For","Deletes a tag policy by its associated governed tag's key, leaving that tag key ungoverned. For Terraform usage, see the [Tag Policy Terraform documentation].  [Tag Policy Terraform documentation]: https://registry.terraform.io/providers/databricks/databricks/latest/docs/resources/tag_policy  :param tag_key: str",tag_policies,tag_policies_delete_tag_policy,delete,
tags.json,/api/2.1/tag-policies/{tag_key},tag_policies_get_tag_policy,get,TagPolicy,"tags, tag_policies",tag_key,"Gets a single tag policy by its associated governed tag's key. For Terraform usage, see the [Tag","Gets a single tag policy by its associated governed tag's key. For Terraform usage, see the [Tag Policy Terraform documentation]. To list granted permissions for tag policies, use the [Account Access Control Proxy API].  [Account Access Control Proxy API]: https://docs.databricks.com/api/workspace/accountaccesscontrolproxy [Tag Policy Terraform documentation]: https://registry.terraform.io/providers/databricks/databricks/latest/docs/data-sources/tag_policy  :param tag_key: str  :returns: :class:`TagPolicy`",tag_policies,tag_policies_get_tag_policy,select,
tags.json,/api/2.1/tag-policies/{tag_key},tag_policies_update_tag_policy,patch,TagPolicy,"tags, tag_policies","tag_key, update_mask, tag_policy","Updates an existing tag policy for a single governed tag. For Terraform usage, see the [Tag Policy","Updates an existing tag policy for a single governed tag. For Terraform usage, see the [Tag Policy Terraform documentation]. To manage permissions for tag policies, use the [Account Access Control Proxy API].  [Account Access Control Proxy API]: https://docs.databricks.com/api/workspace/accountaccesscontrolproxy [Tag Policy Terraform documentation]: https://registry.terraform.io/providers/databricks/databricks/latest/docs/resources/tag_policy  :param tag_key: str :param tag_policy: :class:`TagPolicy` :param update_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`TagPolicy`",tag_policies,tag_policies_update_tag_policy,update,
tags.json,/api/2.0/entity-tag-assignments,workspace_entity_tag_assignments_create_tag_assignment,post,TagAssignment,"tags, workspace_entity_tag_assignments",tag_assignment,Create a tag assignment,Create a tag assignment  :param tag_assignment: :class:`TagAssignment`  :returns: :class:`TagAssignment`,workspace_entity_tag_assignments,workspace_entity_tag_assignments_create_tag_assignment,insert,
tags.json,/api/2.0/entity-tag-assignments/{entity_type}/{entity_id}/tags/{tag_key},workspace_entity_tag_assignments_delete_tag_assignment,delete,,"tags, workspace_entity_tag_assignments","entity_type, entity_id, tag_key",Delete a tag assignment,"Delete a tag assignment  :param entity_type: str   The type of entity to which the tag is assigned. Allowed values are apps, dashboards, geniespaces :param entity_id: str   The identifier of the entity to which the tag is assigned :param tag_key: str   The key of the tag. The characters , . : / - = and leading/trailing spaces are not allowed",workspace_entity_tag_assignments,workspace_entity_tag_assignments_delete_tag_assignment,delete,
tags.json,/api/2.0/entity-tag-assignments/{entity_type}/{entity_id}/tags/{tag_key},workspace_entity_tag_assignments_get_tag_assignment,get,TagAssignment,"tags, workspace_entity_tag_assignments","entity_type, entity_id, tag_key",Get a tag assignment,"Get a tag assignment  :param entity_type: str   The type of entity to which the tag is assigned. Allowed values are apps, dashboards, geniespaces :param entity_id: str   The identifier of the entity to which the tag is assigned :param tag_key: str   The key of the tag. The characters , . : / - = and leading/trailing spaces are not allowed  :returns: :class:`TagAssignment`",workspace_entity_tag_assignments,workspace_entity_tag_assignments_get_tag_assignment,select,
tags.json,/api/2.0/entity-tag-assignments/{entity_type}/{entity_id}/tags/{tag_key},workspace_entity_tag_assignments_update_tag_assignment,patch,TagAssignment,"tags, workspace_entity_tag_assignments","entity_type, entity_id, tag_key, update_mask, tag_assignment",Update a tag assignment,"Update a tag assignment  :param entity_type: str   The type of entity to which the tag is assigned. Allowed values are apps, dashboards, geniespaces :param entity_id: str   The identifier of the entity to which the tag is assigned :param tag_key: str   The key of the tag. The characters , . : / - = and leading/trailing spaces are not allowed :param tag_assignment: :class:`TagAssignment` :param update_mask: str   The field mask must be a single string, with multiple fields separated by commas (no spaces). The   field path is relative to the resource object, using a dot (`.`) to navigate sub-fields (e.g.,   `author.given_name`). Specification of elements in sequence or map fields is not allowed, as only   the entire collection field can be specified. Field names must exactly match the resource field   names.    A field mask of `*` indicates full replacement. It’s recommended to always explicitly list the   fields being updated and avoid using `*` wildcards, as it can lead to unintended results if the API   changes in the future.  :returns: :class:`TagAssignment`",workspace_entity_tag_assignments,workspace_entity_tag_assignments_update_tag_assignment,update,
tags.json,/api/2.0/entity-tag-assignments/{entity_type}/{entity_id}/tags,workspace_entity_tag_assignments_list_tag_assignments,get,Iterator[TagAssignment],"tags, workspace_entity_tag_assignments","entity_type, entity_id, page_size, page_token",List the tag assignments for an entity,"List the tag assignments for an entity  :param entity_type: str   The type of entity to which the tag is assigned. Allowed values are apps, dashboards, geniespaces :param entity_id: str   The identifier of the entity to which the tag is assigned :param page_size: int (optional)   Optional. Maximum number of tag assignments to return in a single page :param page_token: str (optional)   Pagination token to go to the next page of tag assignments. Requests first page if absent.  :returns: Iterator over :class:`TagAssignment`",workspace_entity_tag_assignments,workspace_entity_tag_assignments_list_tag_assignments,select,
