filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
vectorsearch.json,/api/2.0/vector-search/endpoints,vector_search_endpoints_create_endpoint,post,Wait[EndpointInfo],"vectorsearch, vector_search_endpoints","name, endpoint_type, budget_policy_id",Create a new endpoint.,Create a new endpoint.  :param name: str   Name of the vector search endpoint :param endpoint_type: :class:`EndpointType`   Type of endpoint :param budget_policy_id: str (optional)   The budget policy id to be applied  :returns:   Long-running operation waiter for :class:`EndpointInfo`.   See :method:wait_get_endpoint_vector_search_endpoint_online for more details.,endpoints,create,insert,
vectorsearch.json,/api/2.0/vector-search/endpoints,vector_search_endpoints_list_endpoints,get,Iterator[EndpointInfo],"vectorsearch, vector_search_endpoints",page_token,List all vector search endpoints in the workspace.,List all vector search endpoints in the workspace.  :param page_token: str (optional)   Token for pagination  :returns: Iterator over :class:`EndpointInfo`,endpoints,list,select,$.endpoints
vectorsearch.json,/api/2.0/vector-search/endpoints/{endpoint_name},vector_search_endpoints_delete_endpoint,delete,,"vectorsearch, vector_search_endpoints",endpoint_name,Delete a vector search endpoint.,Delete a vector search endpoint.  :param endpoint_name: str   Name of the vector search endpoint,endpoints,delete,delete,
vectorsearch.json,/api/2.0/vector-search/endpoints/{endpoint_name},vector_search_endpoints_get_endpoint,get,EndpointInfo,"vectorsearch, vector_search_endpoints",endpoint_name,Get details for a single vector search endpoint.,Get details for a single vector search endpoint.  :param endpoint_name: str   Name of the endpoint  :returns: :class:`EndpointInfo`,endpoints,get,select,
vectorsearch.json,/api/2.0/vector-search/endpoints/{name}/metrics,vector_search_endpoints_retrieve_user_visible_metrics,post,RetrieveUserVisibleMetricsResponse,"vectorsearch, vector_search_endpoints","name, end_time, granularity_in_seconds, metrics, page_token, start_time",Retrieve user-visible metrics for an endpoint,Retrieve user-visible metrics for an endpoint  :param name: str   Vector search endpoint name :param end_time: str (optional)   End time for metrics query :param granularity_in_seconds: int (optional)   Granularity in seconds :param metrics: List[:class:`Metric`] (optional)   List of metrics to retrieve :param page_token: str (optional)   Token for pagination :param start_time: str (optional)   Start time for metrics query  :returns: :class:`RetrieveUserVisibleMetricsResponse`,endpoints,retrieve_user_visible_metrics,exec,
vectorsearch.json,/api/2.0/vector-search/endpoints/{endpoint_name}/budget-policy,vector_search_endpoints_update_endpoint_budget_policy,patch,PatchEndpointBudgetPolicyResponse,"vectorsearch, vector_search_endpoints","endpoint_name, budget_policy_id",Update the budget policy of an endpoint,Update the budget policy of an endpoint  :param endpoint_name: str   Name of the vector search endpoint :param budget_policy_id: str   The budget policy id to be applied  :returns: :class:`PatchEndpointBudgetPolicyResponse`,endpoints,update_endpoint_budget_policy,exec,
vectorsearch.json,/api/2.0/vector-search/endpoints/{endpoint_name}/tags,vector_search_endpoints_update_endpoint_custom_tags,patch,UpdateEndpointCustomTagsResponse,"vectorsearch, vector_search_endpoints","endpoint_name, custom_tags",Update the custom tags of an endpoint.,Update the custom tags of an endpoint.  :param endpoint_name: str   Name of the vector search endpoint :param custom_tags: List[:class:`CustomTag`]   The new custom tags for the vector search endpoint  :returns: :class:`UpdateEndpointCustomTagsResponse`,endpoints,update_endpoint_custom_tags,exec,
vectorsearch.json,/api/2.0/vector-search/indexes,vector_search_indexes_create_index,post,VectorIndex,"vectorsearch, vector_search_indexes","name, endpoint_name, primary_key, index_type, delta_sync_index_spec, direct_access_index_spec",Create a new index.,Create a new index.  :param name: str   Name of the index :param endpoint_name: str   Name of the endpoint to be used for serving the index :param primary_key: str   Primary key of the index :param index_type: :class:`VectorIndexType` :param delta_sync_index_spec: :class:`DeltaSyncVectorIndexSpecRequest` (optional)   Specification for Delta Sync Index. Required if `index_type` is `DELTA_SYNC`. :param direct_access_index_spec: :class:`DirectAccessVectorIndexSpec` (optional)   Specification for Direct Vector Access Index. Required if `index_type` is `DIRECT_ACCESS`.  :returns: :class:`VectorIndex`,indexes,create,insert,
vectorsearch.json,/api/2.0/vector-search/indexes,vector_search_indexes_list_indexes,get,Iterator[MiniVectorIndex],"vectorsearch, vector_search_indexes","endpoint_name, page_token",List all indexes in the given endpoint.,List all indexes in the given endpoint.  :param endpoint_name: str   Name of the endpoint :param page_token: str (optional)   Token for pagination  :returns: Iterator over :class:`MiniVectorIndex`,indexes,list,select,$.vector_indexes
vectorsearch.json,/api/2.0/vector-search/indexes/{index_name}/delete-data,vector_search_indexes_delete_data_vector_index,delete,DeleteDataVectorIndexResponse,"vectorsearch, vector_search_indexes","index_name, primary_keys",Handles the deletion of data from a specified vector index.,Handles the deletion of data from a specified vector index.  :param index_name: str   Name of the vector index where data is to be deleted. Must be a Direct Vector Access Index. :param primary_keys: List[str]   List of primary keys for the data to be deleted.  :returns: :class:`DeleteDataVectorIndexResponse`,indexes,delete_data_vector_index,exec,
