filename,path,operationId,verb,response_object,tags,params,summary,description,stackql_resource_name,stackql_method_name,stackql_verb,stackql_object_key
workspace.json,/api/2.0/git-credentials,git_credentials_create,post,CreateCredentialsResponse,"workspace, git_credentials","git_provider, git_email, git_username, is_default_for_provider, name, personal_access_token, principal_id","Creates a Git credential entry for the user. Only one Git credential per user is supported, so any","Creates a Git credential entry for the user. Only one Git credential per user is supported, so any attempts to create credentials if an entry already exists will fail. Use the PATCH endpoint to update existing credentials, or the DELETE endpoint to delete existing credentials.  :param git_provider: str   Git provider. This field is case-insensitive. The available Git providers are `gitHub`,   `bitbucketCloud`, `gitLab`, `azureDevOpsServices`, `gitHubEnterprise`, `bitbucketServer`,   `gitLabEnterpriseEdition` and `awsCodeCommit`. :param git_email: str (optional)   The authenticating email associated with your Git provider user account. Used for authentication   with the remote repository and also sets the author & committer identity for commits. Required for   most Git providers except AWS CodeCommit. Learn more at   https://docs.databricks.com/aws/en/repos/get-access-tokens-from-git-provider :param git_username: str (optional)   The username provided with your Git provider account and associated with the credential. For most   Git providers it is only used to set the Git committer & author names for commits, however it may be   required for authentication depending on your Git provider / token requirements. Required for AWS   CodeCommit. :param is_default_for_provider: bool (optional)   if the credential is the default for the given provider :param name: str (optional)   the name of the git credential, used for identification and ease of lookup :param personal_access_token: str (optional)   The personal access token used to authenticate to the corresponding Git provider. For certain   providers, support may exist for other types of scoped access tokens. [Learn more].    [Learn more]: https://docs.databricks.com/repos/get-access-tokens-from-git-provider.html :param principal_id: int (optional)   The ID of the service principal whose credentials will be modified. Only service principal managers   can perform this action.  :returns: :class:`CreateCredentialsResponse`",git_credentials,git_credentials_create,insert,
workspace.json,/api/2.0/git-credentials,git_credentials_list,get,Iterator[CredentialInfo],"workspace, git_credentials",principal_id,Lists the calling user's Git credentials.,Lists the calling user's Git credentials.  :param principal_id: int (optional)   The ID of the service principal whose credentials will be listed. Only service principal managers   can perform this action.  :returns: Iterator over :class:`CredentialInfo`,git_credentials,git_credentials_list,select,
workspace.json,/api/2.0/git-credentials/{credential_id},git_credentials_delete,delete,,"workspace, git_credentials","credential_id, principal_id",Deletes the specified Git credential.,Deletes the specified Git credential.  :param credential_id: int   The ID for the corresponding credential to access. :param principal_id: int (optional)   The ID of the service principal whose credentials will be modified. Only service principal managers   can perform this action.,git_credentials,git_credentials_delete,delete,
workspace.json,/api/2.0/git-credentials/{credential_id},git_credentials_get,get,GetCredentialsResponse,"workspace, git_credentials","credential_id, principal_id",Gets the Git credential with the specified credential ID.,Gets the Git credential with the specified credential ID.  :param credential_id: int   The ID for the corresponding credential to access. :param principal_id: int (optional)   The ID of the service principal whose credentials will be modified. Only service principal managers   can perform this action.  :returns: :class:`GetCredentialsResponse`,git_credentials,git_credentials_get,select,
workspace.json,/api/2.0/git-credentials/{credential_id},git_credentials_update,patch,,"workspace, git_credentials","credential_id, git_provider, git_email, git_username, is_default_for_provider, name, personal_access_token, principal_id",Updates the specified Git credential.,"Updates the specified Git credential.  :param credential_id: int   The ID for the corresponding credential to access. :param git_provider: str   Git provider. This field is case-insensitive. The available Git providers are `gitHub`,   `bitbucketCloud`, `gitLab`, `azureDevOpsServices`, `gitHubEnterprise`, `bitbucketServer`,   `gitLabEnterpriseEdition` and `awsCodeCommit`. :param git_email: str (optional)   The authenticating email associated with your Git provider user account. Used for authentication   with the remote repository and also sets the author & committer identity for commits. Required for   most Git providers except AWS CodeCommit. Learn more at   https://docs.databricks.com/aws/en/repos/get-access-tokens-from-git-provider :param git_username: str (optional)   The username provided with your Git provider account and associated with the credential. For most   Git providers it is only used to set the Git committer & author names for commits, however it may be   required for authentication depending on your Git provider / token requirements. Required for AWS   CodeCommit. :param is_default_for_provider: bool (optional)   if the credential is the default for the given provider :param name: str (optional)   the name of the git credential, used for identification and ease of lookup :param personal_access_token: str (optional)   The personal access token used to authenticate to the corresponding Git provider. For certain   providers, support may exist for other types of scoped access tokens. [Learn more].    [Learn more]: https://docs.databricks.com/repos/get-access-tokens-from-git-provider.html :param principal_id: int (optional)   The ID of the service principal whose credentials will be modified. Only service principal managers   can perform this action.",git_credentials,git_credentials_update,update,
workspace.json,/api/2.0/repos,repos_create,post,CreateRepoResponse,"workspace, repos","url, provider, path, sparse_checkout",Creates a repo in the workspace and links it to the remote Git repo specified. Note that repos created,"Creates a repo in the workspace and links it to the remote Git repo specified. Note that repos created programmatically must be linked to a remote Git repo, unlike repos created in the browser.  :param url: str   URL of the Git repository to be linked. :param provider: str   Git provider. This field is case-insensitive. The available Git providers are `gitHub`,   `bitbucketCloud`, `gitLab`, `azureDevOpsServices`, `gitHubEnterprise`, `bitbucketServer`,   `gitLabEnterpriseEdition` and `awsCodeCommit`. :param path: str (optional)   Desired path for the repo in the workspace. Almost any path in the workspace can be chosen. If repo   is created in `/Repos`, path must be in the format `/Repos/{folder}/{repo-name}`. :param sparse_checkout: :class:`SparseCheckout` (optional)   If specified, the repo will be created with sparse checkout enabled. You cannot enable/disable   sparse checkout after the repo is created.  :returns: :class:`CreateRepoResponse`",repos,repos_create,insert,
workspace.json,/api/2.0/repos,repos_list,get,Iterator[RepoInfo],"workspace, repos","next_page_token, path_prefix",Returns repos that the calling user has Manage permissions on. Use `next_page_token` to iterate,"Returns repos that the calling user has Manage permissions on. Use `next_page_token` to iterate through additional pages.  :param next_page_token: str (optional)   Token used to get the next page of results. If not specified, returns the first page of results as   well as a next page token if there are more results. :param path_prefix: str (optional)   Filters repos that have paths starting with the given path prefix. If not provided or when provided   an effectively empty prefix (`/` or `/Workspace`) Git folders (repos) from `/Workspace/Repos` will   be served.  :returns: Iterator over :class:`RepoInfo`",repos,repos_list,select,
workspace.json,/api/2.0/repos/{repo_id},repos_delete,delete,,"workspace, repos",repo_id,Deletes the specified repo.,Deletes the specified repo.  :param repo_id: int   The ID for the corresponding repo to delete.,repos,repos_delete,delete,
workspace.json,/api/2.0/repos/{repo_id},repos_get,get,GetRepoResponse,"workspace, repos",repo_id,Returns the repo with the given repo ID.,Returns the repo with the given repo ID.  :param repo_id: int   ID of the Git folder (repo) object in the workspace.  :returns: :class:`GetRepoResponse`,repos,repos_get,select,
workspace.json,/api/2.0/repos/{repo_id},repos_update,patch,,"workspace, repos","repo_id, branch, sparse_checkout, tag","Updates the repo to a different branch or tag, or updates the repo to the latest commit on the same","Updates the repo to a different branch or tag, or updates the repo to the latest commit on the same branch.  :param repo_id: int   ID of the Git folder (repo) object in the workspace. :param branch: str (optional)   Branch that the local version of the repo is checked out to. :param sparse_checkout: :class:`SparseCheckoutUpdate` (optional)   If specified, update the sparse checkout settings. The update will fail if sparse checkout is not   enabled for the repo. :param tag: str (optional)   Tag that the local version of the repo is checked out to. Updating the repo to a tag puts the repo   in a detached HEAD state. Before committing new changes, you must update the repo to a branch   instead of the detached HEAD.",repos,repos_update,update,
